CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Memphis,downtown,TN,US,2017-05-25,dozens,24,,24,,,general protestors,against visit by US Attorney General Jeff Sessions,1,protest,0,0,0,0,1,1,http://wreg.com/2017/05/25/dozens-protest-outside-attorney-generals-memphis-meeting/,,,
New York,"Columbus Circle, Manhattan",NY,US,2017-05-25,,,,,,,Rise and Resist,"against global gag rule prohibiting non-governmental organizations that receive U.S. government funding from providing abortion services or referrals, for reproductive rights",1,protest,,,,,1,1,https://www.riseandresist.org/past-actions,,,
New York,midtown Manhattan,NY,US,2017-05-25,dozens,24,,24,,,right wing demonstrators,to protest a university's decision to invite a Palestinian-American activist to deliver its graduation speech,0,protest,0,0,0,0,0,1,https://www.reuters.com/article/us-usa-terror-protests-idUSKBN18L2UQ,http://www.mrctv.org/blog/protests-erupt-after-school-taps-linda-sarsour-commencement-speaker,,
New York,Manhattan in front of MSNBC headquarters,,US,2017-05-25,,,,,,,general protestors,support Lawrence O'Donnell contract renewal,0,protest,,,,,0,1,http://thehill.com/homenews/media/334696-lawrence-odonnell-supporters-to-protest-msnbc,,,
Newark,,,US,2017-05-25,,,,,,,,awareness for domestic violence,0,march,,,,,1,1,http://www.mydaytondailynews.com/news/breaking-news/domestic-violence-march-honor-kirkersville-shooting-victim/hXg5OiN627Lp2z8HpoyZdK/,,,
San Luis Obispo,Cal Poly Campus,CA,US ,2017-05-25,more than 100,100,,100,,,general protestors,protesting Lauren Southern's appearance,0,protest,0,0,0,0,1,1,http://www.sanluisobispo.com/news/local/article152772484.html,,,
Belmont,Belmont High School,MA,US,2017-05-26,,,,,,,students and teachers,protest against racial slur on social media,0,protest,0,0,0,0,1,1,http://belmontonian.com/uncategorized/belmont-students-protest-racial-slur-on-social-media-video/,,,
Chicago,Gary/Chicago International Airport,IL,US,2017-05-26,dozens,24,,24,,,Northwest Indiana Resist,protest Immigration and Customs Enforcement flights deporting people out of the country,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/post-tribune/news/ct-ptb-gary-deportation-protest-st-0527-20170525-story.html,,,
Chicago,Navy Pier,IL,US,2017-05-26,,,,,,,Members of Teamsters Local 727,protest management plans to replace them,0,protest,0,0,0,0,0,1,http://www.chicagotribune.com/business/ct-teamsters-navy-pier-hearing-0527-biz-20170526-story.html,,,
Mount Joy,Donegal High School,PA,US,2017-05-26,more than 50,50,,50,,,students  ,protesting inflammatory social media behavior,0,protest;sit-in,0,0,0,0,1,1,http://lancasteronline.com/news/local/donegal-high-school-students-stage-protest-after-extremely-negative-snapchat/article_e4654cee-4231-11e7-98f7-8ff742f89f77.html,,,
Alexandria,outside Richard Spencer's offices,VA,US,2017-05-27,,,,,,,general protestors,against alt-Right; against racism,1,protest,0,0,0,0,1,1,http://www.nbcwashington.com/news/local/Protesters-Gather-Outside-Alt-Right-Leaders-Virginia-Office-Richard-Spencer-424994074.html,,,
Appleton,Houdini Plaza,WI,US,2017-05-27,dozens,24,,24,,,general protestors,in response to a police shooting of Jimmy Sanders,0,protest,0,0,0,0,1,1,http://www.nbc26.com/news/protesters-voice-their-want-for-action-after-appleton-shooting,,,
Berkeley,outside various restaurants and grocery stores in Berkeley,CA,US,2017-05-27,,,,,,,Direct Action Everywhere,protesting animal cruelty,0,protest,0,0,0,0,1,1,http://www.dailycal.org/2017/05/27/demonstrators-protest-animal-cruelty-saturday-evening/,,,
Detroit,entrance of the island on Jefferson,MI,US,2017-05-27,26,26,,26,,,Belle Isle Concern,protest use of Belle Isle for Detroit Grand Prix,0,protest,0,0,0,0,1,1,http://www.detroitnews.com/story/news/local/detroit-city/2017/05/27/belle-isle-grand-prix-protest/102238444/,,,
Hampton,Nash Farm Battlefield,GA,US,2017-05-27,estimated 250,250,,250,,,Confederate States of America,protesting the closing of the battlefield,0,protest,0,0,0,0,1,1,http://www.henryherald.com/news/flag-rally-held-at-nash-farm-battlefield-saturday/article_26ca585d-8d0b-527d-b33e-c060133ccd15.html,,,
Memphis,Court Square,TN,US,2017-05-27,75,75,,75,,,Memphis LGBT community,against anti-gay purge in Chechnya,0,protest,0,0,0,0,1,1,http://www.commercialappeal.com/story/news/2017/05/27/downtown-march-lgbt-rights-chechnya-features-drag-nuns/350136001/,,,
Millersburg,Little Creek camp,IA,US,2017-05-27,small group,8,,24,,,protesters camping on private land ,protesting against Dakota Access Pipeline,0,protest,0,0,0,0,1,1,http://www.kcrg.com/content/news/Group-continues-Dakota-Access-Pipeline-protest-at-camp-in-Iowa-County-424870704.html,,,
Minneapolis,at the Walker Art Center,MN,US,2017-05-27,,,,,,,general protestors,against gallows-like “Scaffold” sculpture,0,protest,0,0,0,0,1,1,http://www.startribune.com/scaffold-artist-issues-statement-apologizing-reconsidering-work-in-light-of-sculpture-garden-protests/425148453/#1,,,
Newton,Justice Center,NC,US,2017-05-27,about 2000,2000,,2000,,,general protestors,support speech that had called for confinement of gays,0,protest,0,0,0,0,1,1,http://www.wisconsingazette.com/news/protesters-demonstrate-against-anti-gay-n-c-pastor/article_09fb649e-d592-59cf-9e8e-36e02e986d04.html,,,
Newton,,NC,US,2017-05-27,about 20,20,,20,,,general protestors,protest speech that had called for confinement of gays,0,protest,0,0,0,0,0,1,http://www.wisconsingazette.com/news/protesters-demonstrate-against-anti-gay-n-c-pastor/article_09fb649e-d592-59cf-9e8e-36e02e986d04.html,,,
San Antonio,Outside Mayor Taylor's house,TX,US,2017-05-27,about 80,80,,80,,,LGBTQ activists,Protesting Taylor's LGBTQ stance,0,protest,0,0,0,0,1,1,http://www.mysanantonio.com/news/local/article/LGBTQ-dance-protest-breaks-out-in-front-of-SA-11178803.php#photo-12985933,,,
Wichita,outside McAdams Park Pool ,KS,US,2017-05-27,,,,,,,general protestors,protest pool closing,0,protest,0,0,0,0,1,1,http://ksn.com/2017/05/28/mcadams-park-pool-closing-sparks-flash-mob-protest/,,,
Austin,outside Texas governor's mansion,TX,US,2017-05-28,dozens; around 50,24,,50,,,general protestors,"protest against Texas Senate BIll 4, which opponents describe as an anti-""sanctuary city"" law requiring Texas police chiefs and sheriffs to comply with all federal immigration enforcement requests",1,rally,0,0,0,0,1,1,https://www.texasobserver.org/3-m-sanctuary-protest-governor-abbotts-mansion-blares-mariachi-music/,,,3:00 AM
Las Vegas,Las Vegas strip,NV,US,2017-05-28,dozens; around 75 according to police,75,,96,,,All Shades United; general protestors,"blocked traffic on the Las Vegas Strip to protest the death of Tashii Brown, who died after a police officer fired a stun gun seven times and put into an unauthorized choke hold",0,rally,10,0,0,0,1,1,https://www.reviewjournal.com/local/the-strip/several-arrested-during-protest-on-las-vegas-strip/,https://www.usnews.com/news/best-states/nevada/articles/2017-05-29/10-arrested-after-fight-during-vegas-protest-of-mans-death,,
Minneapolis,"inside and outside The Bachelor Farmer, a restaurant",MN,US,2017-05-28,na,70,,70,,,general protestors,pro-immigrant; call for MN Governor Dayton to veto Minnesota bill HF 470,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/5/29/protest-dayton-owned-restaurant-says-immigrants-table-not-menu,,,
Pomona,McDonald's 1515 Fairplex Drive,CA,US,2017-05-28,80,80,,80,,,Veteran Suicide Awareness Project,reach out to other suicide survivors and to veterans suffering from depression and post-traumatic stress disorder.,0,march,0,0,0,0,1,1,http://www.pe.com/2017/05/27/memorial-day-march-from-pomona-to-riverside-remembers-veteran-suicide-victims/,,,
Sterling,outside Trump National Golf Club,VA,US,2017-05-28,,,,,,,general protestors,"protesting Trump administration during Senior PGA Championship tournament held at Trump National Golf Course; some so-called ""kayaktavists"" appeared in nearby bodies of water off the course to protest the president's administration",1,protest,0,0,0,0,1,1,https://www.nytimes.com/2017/05/28/us/politics/trump-golf-club-protests-senior-pga.html,,,
Austin,Texas Capitol,TX,US,2017-05-29,hundreds,200,,200,,,general protestors,"protesting against Texas Senate BIll 4, which opponents describe as an anti-""sanctuary city"" law requiring Texas police chiefs and sheriffs to comply with all federal immigration enforcement requests; incident sparked near fistfight on Texas House floor after Republcian lawmaker reportedly contacted federal Immigration and Customs Enforcement (ICE) agents on the protesters and threatened to shoot a Democratic colleague who allegedly threatened him first.",1,protest,0,0,0,0,1,1,https://www.dallasnews.com/news/immigration/2017/05/29/hundreds-protest-sanctuary-cities-ban-last-day-legislature,http://www.latimes.com/nation/nationnow/la-na-texas-protest-20170529-story.html,,
Raleigh,14 mile walk through Raleigh,NC,US,2017-05-29,more than 100,100,,100,,,general protestors,rallying to raise awareness for suicide rates among veterans,0,rally; march,0,0,0,0,2+,1,http://abc11.com/news/nc-ruck-march-raises-awareness-about-veteran-suicide-/2050939/,,,
Riverside,40 mile walk,CA,US,2017-05-29,about 80,80,,80,,,veterans ,rallying to raise awareness for suicide rates among veterans,0,rally; march,0,0,0,0,2+,1,http://abc7.com/society/dozens-march-40-miles-in-ie-to-raise-veteran-suicide-awareness/2050438/,,,
Wausau,Outside Shrine Circus,WI,US,2017-05-29,five,5,,5,,,general protestors,protesting the treatment of animals by circus,0,protest,0,0,0,0,1,1,http://www.waow.com/story/35542366/2017/05/29/small-protest-group-gathers-outside-shrine-circus,,,
Buffalo,Niagara Square,NY,US,2017-05-30,,,,,,,general protestors,want city administrators to enact transitioning guidelines for its transgender employees,0,protest,0,0,0,0,1,1,http://buffalonews.com/2017/05/30/pride-week-kicks-off-city-hall-amid-small-protest/,,,
Chicago,outside student center; DePaul University,IL,US,2017-05-30,,,,,,,Chicago General Defense Committee,oppose cancellation of speech by conservative; Rally Against Hate,1,protest,0,0,0,0,1,1,https://www.dnainfo.com/chicago/20170531/lincoln-park/depaul-stabbing-unrelated-protest-over-mcinnes-university-says,,,
Chicago,outside student center; DePaul University,IL,US,2017-05-30,,,,,,,DePaul College Republicans,support cancellation of speech by conservative,2,protest,0,0,0,0,0,1,https://www.dnainfo.com/chicago/20170531/lincoln-park/depaul-stabbing-unrelated-protest-over-mcinnes-university-says,,,
Denver,"inside and outside Dozens, a restuarant",CO,US,2017-05-30,,,,,,,general protestors,protest bigoted statement(s),0,protest,0,0,0,0,1,1,https://denver.eater.com/2017/5/31/15718878/dozens-restaurant-downtown-protest,,,
East Hartford,outside East Hartford High School,CT,US,2017-05-30,,,,,,,general protestors,protest comments by US Secy of Education DeVos,1,protest,0,0,0,0,1,1,http://www.courant.com/education/hc-east-hartford-rally-0531-20170530-story.html,,,
Gainesville,outside of US Rep. Ted Yoho’s office,FL,US,2017-05-30,na,8,,8,,,general protestors,anti-Trump,1,protest,0,0,0,0,1,1,http://www.alligator.org/news/article_bdb7d866-4658-11e7-82f2-57b60f52b411.html,,,count from pic
Gainesville,outside of US. Rep. Doug Collins’ (R) Gainesville office; Washington Street ,GA,US,2017-05-30,more than 100,100,,100,,,Indivisible Lumpkin; North Georgia Democratic groups,demand town hall meeting; against GOP health care bill,1,protest,0,0,0,0,1,1,http://www.gainesvilletimes.com/section/6/article/123781/,,,
New Orleans,,LA,US,2017-05-30,,,,,,,general protestors,support equal pay for women,0,protest,0,0,0,0,1,1,http://www.wdsu.com/article/working-women-protest-and-secondline-for-equal-pay/9953070,,,
Orlando,outside office of US Sen Marco Rubio,FL,US,2017-05-30,about 30,30,,30,,,For Our Future; Indivisible Central Florida; Planned Parenthood; Challenge Politics,against House health care bill,1,protest,0,0,0,0,1,1,http://www.orlandosentinel.com/news/politics/political-pulse/os-rubio-protest-health-care-20170530-story.html,,,
Pasadena,in front of Caltech,CA,US,2017-05-30,,,,,,,general protestors,against building telescope on Mauna Kea (Hawaii),0,protest,0,0,0,0,1,1,http://www.huffingtonpost.com/entry/mauna-kea-protest-at-caltech_us_592e2c71e4b047e77e4c3f93,http://www.pasadenanow.com/main/protests-planned-during-important-deadline-today-in-the-thirty-meter-telescope-case/,,
Providence,State House,RI,US,2017-05-30,,,,,,,Workers from Twin River Casino; UNITE HERE Local 26,protest higher health insurance costs,0,protest,0,0,0,0,1,1,http://www.providencejournal.com/news/20170530/casino-workers-protest-health-care-hikes,,,
Raleigh,capitol,NC,US,2017-05-30,,,,,,,general protestors; NAACP,against state GOP refusal to expand medicaid,0,protest; sit-in,32,0,0,0,1,1,https://www.usnews.com/news/best-states/north-carolina/articles/2017-05-30/dozens-arrested-after-health-care-protest-in-north-carolina,,,civil dis
Vista,1800 Thibodo Rd,CA,US,2017-05-30,estimated 300,300,,300,,,general protesters,"against President Trump, against U.S. Representative Darryl Issa",1,demonstration,0,0,0,0,1,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,http://www.sandiegouniontribune.com/communities/north-county/sd-no-issa-rooftop-20170530-story.html,,
Vista,1800 Thibodo Rd.,CA,US,2017-05-30,na,1,,1,,,general protesters,for President Trump,2,counter-protest,0,0,0,0,0,1,https://www.latimes.com/politics/la-pol-ca-issa-protest-20180425-htmlstory.html,http://www.sandiegouniontribune.com/communities/north-county/sd-no-issa-rooftop-20170530-story.html,,
Augusta,outside the House and Senate chambers; inside capitol,ME,US,2017-05-31,,,,,,,Progressive Women of Maine,more state money for schools,0,rally,0,0,0,0,1,1,http://www.wcsh6.com/news/group-of-mainers-protest-for-more-money-for-education/444430586,,,
Baltimore,downtown,MD,US,2017-05-31,,,,,,,People for the Ethical Treatment of Animals,anti-circus,0,protest,0,0,0,0,1,1,http://baltimore.cbslocal.com/2017/05/31/peta-protests-the-universoul-circus-for-poor-animal-welfare/,,,
Charlottesville,Lee Park,VA,US,2017-05-31,more than 100,100,,100,,,general protestors; religious groups,support removal of confederate statue,0,protest,0,0,0,0,1,1,http://www.nbc29.com/story/35555623/religious-groups-protest-statue-of-confederate-general-in-charlottesville,,,
Dallas,outside US Sen. John Cornyn offfice,TX,US,2017-05-31,about 2 dozen,24,,24,,,general protestors,against House health care bill; pro-Obamacare,1,protest,0,0,0,0,1,1,http://dfw.cbslocal.com/2017/05/31/protesters-texas-senator-dallas-office/,,,
Farmers Branch,outside state Rep. Matt Rinaldi's district office; Ford Road,TX,US,2017-05-31,nearly 50,50,,50,,,general protestors,protesting Rinaldi's comments; pro-sanctuary,1,protest,0,0,0,0,1,1,https://www.dallasnews.com/news/news/2017/05/31/dozens-protest-outside-offices-matt-rinaldi-two-days-threatens-shoot-fellow-lawmaker-sb4-fight,,,
Inwood Park,Mount Auburn,OH,US,2017-05-31,a couple hundred,200,,200,,,Black Lives Matter,Protesting Tensing verdict,0,protest,0,0,0,0,1,1,http://www.cincinnati.com/story/news/2017/06/01/undeterred-coalition-repeats-call-tensing-conviction-retrial/359634001/,,,
Lexington,Triangle Park,KY,US,2017-05-31,dozens; about 175,24,,175,,,general protestors,support addressing climate change; anti-Trump policies,1,protest,0,0,0,0,1,1,http://www.wkyt.com/content/news/Protest-to-continue-425512004.html,http://www.kentucky.com/news/state/article153657499.html,,
Lynchburg,outside an event at Genworth,VA,US,2017-05-31,,,,,,,Indivisible Lynchburg,anti-Trump; call for town hall with US Rep Bob Goodlatte,1,protest,0,0,0,0,1,1,http://www.wdbj7.com/content/news/Protesters-in-Lynchburg-meet-with-cardboard-cutout-of-Congressman-Bob-Goodlatte-425574224.html,,,
Ripon,,CA,US,2017-05-31,about 2 dozen,24,,24,,,general protestors,against cell tower on school grounds,0,protest,0,0,0,0,1,1,http://fox40.com/2017/05/31/after-2-ripon-children-diagnosed-with-cancer-kids-and-parents-protest-cell-tower-on-school-grounds/,,,
San Jose,,CA,US,2017-05-31,,,,,,,Labor groups; community activists,against non-union workers; against certain type of private development,0,protest,0,0,0,0,1,1,http://www.nbcbayarea.com/news/local/Local-Construction-Workers-Protest-South-Bay-Developers-425594143.html,,,
Springfield,State Capitol,IL,US,2017-05-31,about 25,25,,25,,,general protestors,protesting legislative action,0,protest,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2017-05-31/ammons-speaks-protesters-illinois-house.html,,,
