CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,S1,S2
Warrensburg,Democratic Headquarters,MO,US,2018-10-08,,,,,,,U.S. Sen. Claire McCaskill campaign,rallying for Democratic candidate,1,rally,0,0,0,0,1,1,http://www.dailystarjournal.com/news/local/mccaskill-rallies-supporters-at-stop-in-warrensburg/article_846ff3fb-2706-5b57-b676-975dc0131850.html,,,,,
Youngstown,in front of the Regional Office for the Ohio Attorney General,OH,US,2018-10-08,na,3,,3,,,Survivors Network of those Abused by Priests,calling for investigation into child sexual abuse in the Catholic Church,1,protest,0,0,0,0,1,1,http://www.tribtoday.com/news/latest-news/2018/10/tues-930-p-m-local-protest-today-to-demand-probe-into-catholic-church-sex-scandals/,https://www.wkyc.com/article/news/local/ohio/victims-of-abuse-by-catholic-clergy-call-on-ohio-attorney-general-mike-dewine-for-action/95-602485875,,,,
Ann Arbor,UMichigan Diag,MI,US,2018-10-08,,,,,,,University of Michigan Students Allied for Freedom and Equality and La Casa,protesting Israel/West Bank border wall; protesting US/Mexico border wall,1,protest,0,0,0,0,1,1,https://www.michigandaily.com/section/news-briefs/otd-safe-and-la-casa-hold-demonstration-diag,,,,,
Athens ,The Classic Center,GA,US,2018-10-09,estimated 1500,1500,,1500,,,Turning Point USA,conservative political rally,2,rally,0,0,0,0,1,1,https://www.onlineathens.com/news/20181004/donald-trump-jr-to-attend-brian-kemp-rally-in-athens,https://www.redandblack.com/athensnews/inside-outside-protesters-demonstrate-against-trump-jr-turning-point-usa/article_f4357028-cc4f-11e8-94c8-f339402a1b81.html,,,,
Athens ,The Classic Center,GA,US,2018-10-09,na,75,,75,,,general protestors,protesting Turning Point USA conference,1,protest,0,0,0,0,0,1,https://www.redandblack.com/athensnews/inside-outside-protesters-demonstrate-against-trump-jr-turning-point-usa/article_f4357028-cc4f-11e8-94c8-f339402a1b81.html,,,,,
Austin,UT Austin,TX,US,2018-10-09,dozens,24,,24,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,http://www.dailytexanonline.com/2018/10/09/ut-students-gather-at-%E2%80%98stand-with-survivors%E2%80%99-rally-in-response-to-yct-demonstration,,,,,
Bloomington,from Sample Gates to the Monroe County Courthouse,IN,US,2018-10-09,about 30,30,,30,,,general protestors,in support of sexual assault survivors; anti-Kavanaugh,1,protest,0,0,0,0,1,1,https://www.idsnews.com/article/2018/10/kavanaughs-confirmation-sparks-bloomington-protest,,,,,
Council Bluffs,Mid-America Center,IA,US,2018-10-09,"approximately 7,000; overflowed the 8,000-capacity Mid-America Center",7000,,8000,,,Trump administration,pro-Trump,2,rally,0,0,0,0,1,1,https://www.omaha.com/news/politics/elections/criticizing-wacko-democrats-trump-promotes-ethanol-local-republicans-at-bluffs/article_3dce2940-9fd6-51b5-a058-f281f18ba9eb.html,https://www.wowt.com/content/news/President-makes-his-way-to-the-metro-496345691.html,,feat. President Trump,,
Council Bluffs,along 23rd Avenue across from the Mid-America Center,IA,US,2018-10-09,around 100,100,,100,,,NextGen Iowa,protesting Trump rally,1,protest,0,2,0,0,0,1,https://www.3newsnow.com/news/local-news/emotions-boil-over-after-demonstrators-stand-outside-mac,,,,,
East Palo Alto,Woodland Park apartments,CA,US,2018-10-09,about 50,50,,50,,,Tenants of Woodland Park apartments and community activists,protesting landlord policy that requires ID to pay rent,1,protest,0,0,0,0,1,1,https://paloaltoonline.com/news/2018/10/10/woodland-park-residents-forced-to-show-id-to-pay-rent,,,,,
Elyria ,226 Middle Ave,OH,US,2018-10-09,,,,,,,The Citzens for better Lorain County Government ,Urging people to 'vote no' to the three local issuses on Nov.  ballot ,0,rally,0,0,0,0,1,1,http://www.chroniclet.com/Local-News/2018/10/05/39-No-39-rally-opposes-3-issues.html,,,,,
Lansing,State Capitol,MI,US,2019-10-09,more than 100,100,,100,,,Cosecha Michigan,marching for driver's licenses for undocumented immigrants,1,march,0,0,0,0,1,1,https://upnorthlive.com/news/local/undocumented-immigrants-and-allies-marched-in-lansing-for-right-to-a-license,,,end of 5-day march that began in Grand Rapids on 10/5/18,,
Minneapolis,School District Headquarters,MN,US,2018-10-09,59,59,,59,,,Educational Support Professionals ,Demanding decant wages ,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2018/10/10/mft-local-59-educational-support-professionals-rally-school-board-decent-wages,,,,,
New Braunfels ,Rudy's Country Store ,TX,US,2018-10-09,,,,,,,Rally for Chip Roy Campaign,rallying for support from local woman ,2,rally,0,0,0,0,1,1,http://herald-zeitung.com/news/article_884974cc-ccf4-11e8-a0fb-3f05555a8a1e.html,,,,,
New Hope,New Hope-Solebury High School,PA,US,2018-10-09,na,200,,200,,,democratic candidates,rallying for gun control; rallying for Democratic candidates,1,rally,0,0,0,0,1,1,http://www.theintell.com/news/20181009/father-of-parkland-victim-speaks-at-gun-safety-rally-in-new-hope/1,,,,,
New York City,Penn Station,NY,US ,2018-10-09,,,,,,,Amtrak workers,protesting Amtrak layoffs and service cuts,1,rally,0,0,0,0,1,1,https://www.amny.com/transit/amtrak-layoffs-1.21733947,,,,,
Parma,Stumph Road building,OH,US,2018-10-09,roughly 50,50,,50,,,Summit Academy Community School teachers,rallying for newly-unionized teachers,1,rally,0,0,0,0,1,1,https://www.cleveland.com/parma/index.ssf/2018/10/summit_academy_community_schoo_1.html,,,,,
San Francisco,San Francisco Chamber of Commerce,CA,US,2018-10-09,count pic,8,,8,,,tech workers ,rallying in support of bill that would tax large businesses to fund homeless services,1,rally,0,0,0,0,1,1,http://www.sfexaminer.com/tech-workers-rally-support-business-tax-homeless-services/,,,,,
St. Cloud,,MN,US,2018-10-09,about 75,75,,75,,,Faith in Minnesota,rallying against Islamophobia,1,rally,0,0,0,0,1,1,https://www.sctimes.com/story/news/2018/10/10/st-cloud-and-anti-muslim-feelings-minnesota-politics-ilhan-omar-erin-murphy-refugee-elections/1567632002/,,,,,
Saint Paul,"Bishop Henry Whipple Building, 1 Federal Dr",MN,US,2018-10-09,,,,,,,Interfaith Coalition on Immigration,"in solidarity with migrant detainees, against inhumane detention practices, keep families together, extend TPS",1,vigil,,,,,1,1,https://mnicom.org/programs/vigils/,https://mnicom.org/2018/10/08/october-2018-vigil/,,second Tuesday of every month,,
Washington,US Supreme Court back entrance,DC,US,2018-10-09,about 40,40,,40,,,general protestors,anti-Kavanaugh,1,protest,0,0,0,0,1,1,https://www.khou.com/article/news/nation-world/brett-kavanaughs-first-day-on-the-supreme-court-bench-includes-warm-welcome-and-some-pinching/507-602509915,,,,,
Bloomington,Indiana University,IN,US,2018-10-10,,,,,,,Created Equal,anti-abortion,2,protest,0,0,0,0,1,1,https://www.foxnews.com/us/left-wing-student-charged-for-attacking-pro-life-protest,,,,,
Bloomington,Indiana University,IN,US,2018-10-10,na,1,,1,,,Thomas Metcalf (student),counter-protest; pro-choice,1,protest,1,0,0,1,0,1,https://www.foxnews.com/us/left-wing-student-charged-for-attacking-pro-life-protest,,,,,
Boston,in front of a Blue Cross Blue Shield office,MA,US,2018-10-10,,,,,,,Unionized gas workers,protesting labor lockout by National Grid Massachusetts ,1,protest,0,0,0,0,1,1,https://www.masslive.com/news/boston/index.ssf/2018/10/national_grid_marcy_reed_protest_woburn_boston.html,,,,,
Danielson,Danielson Courthouse,CT,US,2018-10-10,na,9,,9,,,Former students of The Learning Clinic,protesting teacher who allegedly abused student with special needs,1,protest,0,0,0,0,1,1,https://www.theday.com/policefirecourts/20181010/special-needs-students-protest-against-school-administrator-outside-court,,,,,
Erie,Erie Insurance Arena,PA,US,2018-10-10,na,11000,,12000,,,Trump administration,pro-Trump,2,rally,0,0,0,0,1,1,https://www.washingtonpost.com/politics/2018/11/19/president-trumps-crowd-size-estimates-increasingly-unbelievable/?noredirect=on&utm_term=.51e3c14ab10c,,,feat. President Trump,,
Erie,10th and State streets,PA,US,2018-10-10,about 300,300,,300,,,general protestors,protest nearby Trump rally,1,protest,0,0,0,0,0,1,http://www.goerie.com/news/20181011/president-trump-draws-supporters-protesters-in-erie,,,,1,
Los Angeles,Hall of Justice,CA,US,2018-10-10,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,
New York,Brooklyn Law School,NY,US,2018-10-10,,,,,,,law students,walking out of class to protest Kavanaugh confirmation,1,protest; walkout,0,0,0,0,1,1,https://www.mercurynews.com/2018/10/10/law-students-walk-out-of-class-to-protest-kavanaugh/,,,,,
Southbury,Pomperaug High School,CT,US,2018-10-10,about 400,400,,400,,,Bob Stefanowski gubernatorial campaign,rallying for Republican gubernatorial candidate,1,rally,0,0,0,0,1,1,http://www.courant.com/politics/hc-pol-republican-rally-southbury-20181012-story.html,,,,7,
Tampa ,USF Tampa campus,FL,US,2018-10-10,over 30,30,,30,,,Tampa Bay SDS,in support of sexual assault survivors; anti-Kavanaugh,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2018/10/10/tampa-students-protest-kavanaugh-confirmation,,,,,
Washington,outside Embassy of Saudi Arabia,DC,US,2018-10-10,,,,,,,Code Pink,demand answers about the disappearance of Saudi journalist Jamal Khashoggi,0,protest,0,0,0,0,1,1,https://www.france24.com/en/20181010-trump-aides-pressure-saudi-prince-over-missing-journalist,,,,1,
Campton Hills,hiking 187-miles to Springfield,IL,US,2018-10-11,na,1,,1,,,Jim Coxworth,protest Illinois politics; support term limits; protest gerrymandering,0,protest,0,0,0,0,1,1,https://www.dailyherald.com/news/20181011/why-a-campton-hills-man-is-hiking-187-miles-to-springfield,,,plans to end Oct 23,1,
College Station ,Rudder Plaza ,TX,US,2018-10-11,,,,,,,general protesters ,anti-sexual assault; for sexual assault survivors,1,protest,0,0,0,0,1,1,https://www.kbtx.com/content/news/Sexual-assault-survivors-and-supporters-march-at-Texas-AM-497108381.html,,,,,
De Pree ,St. Norbert College Campus ,WI,US,2018-10-11,about 40 ,40,,40,,,general protestors ,demanding improved school security ,0,protest,0,0,0,0,1,1,https://www.greenbaypressgazette.com/story/news/education/2018/10/11/school-safety-st-norbert-students-seek-security-communications-fixes/1591596002/,,,,,
Florence ,,SC,US,2018-10-11,,,,,,,Campaign rally for Gov. Henry McMaster ,Rallying for people to vote in the Midterm election ,2,rally,0,0,0,0,1,1,https://www.scnow.com/news/local/article_db64dfcc-cdbf-11e8-9c46-d7e760593a29.html,,,,,
Grand Rapids,Grand Valley State University Eberhard Center,MI,US,2018-10-11,,,,,,,Southpaw Michigan,rallying for progressive candidates,1,rally,,,,,1,1,https://www.hollandsentinel.com/news/20181009/candidates-to-rally-in-grand-rapids,,,,,
Paradise,UNLV campus,NV,US,2018-10-11,about 20,20,,20,,,UNLV students,asking the university to shut down Kappa Sigma fraternity and to require comprehensive diversity and inclusion training for all students,0,protest,0,0,0,0,1,1,https://www.reviewjournal.com/news/education/unlv-student-calls-for-fraternity-to-be-shut-down/,,,,1,
Santa Barbara ,,CA,US,2018-10-11,more than 40 ,40,,40,,,general protestors ,anti- proposed oil drilling and fracking increases ,1,protest,0,0,0,0,1,1,https://www.sanluisobispo.com/news/local/environment/article219959605.html,,,,,
Spokane ,Convention Center ,WA,US,2018-10-11,,,,,,,Westboro Baptist Church,protesting the enviromental science conferrence ,2,protest,0,0,0,0,1,1,http://www.spokesman.com/stories/2018/oct/11/police-presence-high-at-lewis-and-clark-in-anticip/,,,,,
Spokane ,Convention Center ,WA,US,2018-10-11,several dozens ,24,,24,,,general protestors ,protesting Westboro Baptist churchs views ,1,counter-protest,0,0,0,0,0,1,http://www.spokesman.com/stories/2018/oct/11/police-presence-high-at-lewis-and-clark-in-anticip/,,,,,
Tulsa ,Mabee Center ,OK,US,2018-10-11,,,,,,,Campaign Rally for Kevin Stitt,Rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://newsok.com/article/5611562/vice-president-heading-to-tulsa-for-stitt-rally,,,,,
Atlanta,State Capitol ,GA,US,2018-10-12,,,,,,,Democratic Party of Georgia ,calling for the Resignation of Georgia Secretary of State ,1,protest,0,0,0,0,1,1,https://atlantadailyworld.com/2018/10/12/rally-today-calling-for-brian-kemps-resignation/,,,,,
Beverly Hills,Will Rogers Memorial Park,CA,US,2018-10-12,more than 1500; hundreds ,200,,1500,,,students,protesting to move Metro line; calling on Trump to move it,1,protest; walkout,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-beverly-hills-metro-20181012-story.html,https://www.dailynews.com/2018/10/12/beverly-hills-students-go-to-park-near-trump-house-to-protest-metro-subway-extension-beneath-school/,,,,
Cadillac,Cadillac Commons,MI,US,2018-10-12,About 30,30,,30,,,Mindy McNamara,raise awareness about child abuse,0,march,0,0,0,0,1,1,https://www.cadillacnews.com/news/cadillac-woman-organizes-march-to-bring-awareness-to-child-abuse/article_7c6ea11f-559d-5053-bb77-ae1a3ccf7ccc.html,,,,,
Chapel Hill ,UNC- Chapel Hill ,NC,US,2018-10-12,Dozens ,24,,24,,,"The Carolina Feminist Coalition, the Campus Y and the Workers' Union ",for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.heraldsun.com/news/local/article219807845.html,,,,,
El Paso ,East Missouri Ave. ,TX,US,2018-10-12,about 40 ,40,,40,,,general protestors ,protesting plans for a new plan parenthood; anti-abortion,2,protest,0,0,0,0,1,1,https://www.elpasotimes.com/story/news/local/community/2018/10/12/dozens-protest-plan-open-new-planned-parenthood-clinic-el-paso/1619815002/,,,,,
Fort Lauderdale,Broward Airport ,FL,US,2018-10-12,,,,,,,Airport workers ,protesting wages and treatment ,0,protest,0,0,0,0,1,1,https://wsvn.com/news/local/broward-airport-workers-demand-pay-increase-during-fort-lauderdale-protest/,,,,,
Gilbert,Falls Event Center,AZ,US,2018-10-12,,,,,,,Martha McSally senate campaign,rallying for GOP candidate,2,rally,,,,,1,1,https://www.12news.com/article/news/local/valley/mitt-romney-to-join-arizona-senate-candidate-martha-mcsally-at-gilbert-rally/75-602929664,,,,,
Hammond ,Hammond Civics Center,IN,US,2018-10-12,about 2300,2300,,2300,,,Campaign rally for Sen. Joe Donnelly ,Rallying for support in the upcoming mid-term election ,1,rally,0,0,0,0,1,1,https://www.idsnews.com/article/2018/10/biden-rallies-democrats-for-donnelly-the-other-joe-in-northwest-indiana,,,,,
Indianapolis ,Downtown ,IN,US,2018-10-12,,,,,,,Campaign rally for Sen. Mike Braun ,rally for support in the upcoming midterms ,2,rally,0,0,0,0,1,1,https://fox59.com/2018/10/13/vp-pence-delivered-remarks-saturday-at-gop-rally-downtown/,,,,,
Lebanon,Warren County Fairgrounds,OH,US,2018-10-12,more than 3000,3000,,3000,,,Trump administration,"for President Trump, for Republican candidates",2,rally,0,0,0,0,1,1,https://www.daytondailynews.com/news/president-trump-rallies-gop-warren-county/sCXhem717IADnR5aX0esbJ/,http://www.wvxu.org/post/trump-rallies-gop-base-lebanon#stream/0,,feat. President Trump,1,
New York ,Metropolitan Republican Club,NY,US,2018-10-12,,,,,,,Republican Part of New York ,Gavin McInnes gave a speech to fire up the republican base going into the midterm election  ,2,rally,3,0,0,0,1,1,https://www.wcax.com/content/news/Cuomo-blames-Trump-Republicans-over-protest-clash-497531281.html,,,,,
New York ,Outside Metropolitan Republican Club,NY,US,2018-10-12,,,,,,,general protestors ,Protesting Gavin McInnes Speech inside the club,1,counter-protest,0,0,0,0,0,1,https://www.wcax.com/content/news/Cuomo-blames-Trump-Republicans-over-protest-clash-497531281.html,,,,,
Owingsville ,Bath County High School ,KY,US,2018-10-12,,,,,,,Amy McGaGrath Campain rally ,Rallying for support in the upcoming mid-term election ,1,rally,0,0,0,0,1,1,https://www.nytimes.com/2018/10/12/us/politics/joe-biden-president-trump.html,,,,,
Providence,Waterplace Park ,RI,US,2018-10-12,,,,,,,general protestors ,urging people to vote yes on ballot measure 3; pro-enviroment ,1,rally ,0,0,0,0,1,1,https://www.wpri.com/politics/state-leaders-rally-in-support-of-47-million-in-environmental-bonds/1519706768,,,,,
Queens ,101st Ave ,NY,US,2018-10-12,,,,,,,general protestors ,protesting the opening of a 2nd homeless shelter ,0,protest,0,0,0,0,1,1,https://qns.com/story/2018/10/16/ozone-park-rallies-homeless-shelter-another-assault/,,,,,
San Francisco ,Forth Street,CA,US,2018-10-12,more than 1000,1000,,1000,,,Marriott employees ,protesting their wages and treatment ,0,protest,50,0,0,0,1,1,http://www.sfexaminer.com/striking-marriott-workers-march-get-arrested-blocking-street/,,,,,
San Rafael ,Terra Linda High School ,CA,US,2018-10-12,,,,,,,Students ,for sexual assault survivors; against Kavanaugh confirmation,1,protest;walk-out,0,0,0,0,1,1,https://www.marinij.com/2018/10/12/terra-linda-students-walk-out-to-protest-kavanaugh-support-metoo/,,,,,
Terre Haute,Wabash Vally ,IN,US,2018-10-12,,,,,,,Terre Haute Teens for Action,pro-gun reform ,1,protest,0,0,0,0,1,1,https://www.wthitv.com/content/news/Terre-Haute-Teens-for-Action-protest-gun-violence-497263701.html,,,,,
Anchorage,,AK,US,2018-10-13,,,,,,,Keystone Club,anti-gun violence ,1,protest,0,0,0,0,1,1,https://www.ktuu.com/content/news/Mountain-View-standing-up-against-gun-violence-497497291.html,,,,,
Chicago ,Grant Park ,IL,US,2018-10-13,thousands,2000,,2000,,,Women's March to the Polls ,pro-woman; anti-GOP; encouraging voting in midterm election ,1,protest,0,0,0,0,1,1,https://www.jsonline.com/story/news/politics/2018/10/13/womens-march-chicago-brett-kavanaugh-midterms/1615624002/,https://chicago.suntimes.com/working/womens-march-chicago-vote-rally-trump-elections-midterm/,,,,
Edwards ,,CO,US,2018-10-13,,,,,,,Campaign rally for Walker Stapleton ,rally for support in the upcoming midterms ,2,rally,0,0,0,0,1,1,https://www.vaildaily.com/news/election/stapleton-rallies-vail-valley-republicans-governor-candidate-stops-in-edwards-as-he-circles-the-state/,,,,,
El Paso ,Franklin High School ,TX,US,2018-10-13,about 2000,2000,,2000,,,Sen. Ted Cruz Campaign Rally,Rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://www.elpasotimes.com/story/news/politics/elections/2018/10/11/us-sen-ted-cruz-sets-el-paso-campaign-rally-senate-election/1602322002/,https://www.ktsm.com/election/elections-2018/senator-ted-cruz-hosts-rally-in-el-paso/1523805141,,,,
Greenville ,Washington St. ,SC,US,2018-10-13,about 15,15,,15,,,general protestors ,rallying to support building the wall between US and Mexico boarder  ,2,rally,2,0,0,0,1,1,https://www.greenvilleonline.com/story/news/2018/10/13/4-arrested-build-wall-rally-counter-protest-greenville/1629833002/,,,,,
Greenville ,Washington St. ,SC,US,2018-10-13,about 35,35,,35,,,general protestors ,counterprotests in opposition of the constuction of the wall,1,counter-protest,3,0,0,0,0,1,https://www.greenvilleonline.com/story/news/2018/10/13/4-arrested-build-wall-rally-counter-protest-greenville/1629833002/,,,,,
Indianapolis ,Downtown ,IN,US,2018-10-13,,,,,,,Campaign rally for Mike Braun ,Rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://fox59.com/2018/10/13/vp-pence-delivered-remarks-saturday-at-gop-rally-downtown/,,,,,
Longmont ,Intersection of Main and 6th st. ,CO,US,2018-10-13,,,,,,,Rally For Our Rights ,Pro-gun rally ,2,rally,0,0,0,0,1,1,http://www.timescall.com/ci_32198176,,,,,
Longview ,Gregg County Courthouse ,TX,US,2018-10-13,,,,,,,Use Your Voice ,bipartisan pro-public education message ,0,rally,0,0,0,0,1,1,https://www.news-journal.com/news/local/educator-rally-set-saturday-at-gregg-county-courthouse/article_23df34b6-cca1-11e8-9630-2f232322c2a1.html,,,,,
Murray ,Outside the Education Association Office ,UT,US,2018-10-13,,,,,,,general protestors ,rallying for the passage of ballot measure 1 which would increase public education funding ,0,rally,0,0,0,0,1,1,https://www.ksl.com/article/46406052/redfored-rally-stokes-support-for-education-initiative,,,,,
New Orleans,Outside Beginner Education Academy  ,LA,US,2018-10-13,more than 150,150,,150,,,general protestors ,anti-abortion; protesting the possible establishment of a woman's clinic,1,protest,0,0,0,0,1,1,https://www.theadvocate.com/new_orleans/news/article_ec9be148-cf1b-11e8-b5c9-ef7722b04a42.html,,,,,
Newark ,Board Education Offices ,OH,US,2018-10-13,,,,,,,Democratic Party of OH,Rallying to promote early voting ,1,rally,0,0,0,0,1,1,https://www.newarkadvocate.com/picture-gallery/news/local/2018/10/11/early-voting-day-rally/1599762002/,,,,,
New York City,Outside City Hall,NY,US,2018-10-13,more than 200,200,,200,,,Human-scale NYC,protesting the boom of luxury developments that hurt small business ,0,protest,0,0,0,0,1,1,https://www.amny.com/real-estate/real-estate-luxury-development-1.21948060,,,,,
Newton,Whittingham Wildlife Managment Area ,NJ,US,2018-10-13,over 50; nearly 60,50,,60,,,general protestors ,protesting bear hunting policies,0,protest,0,0,0,0,1,1,https://www.dailyrecord.com/story/news/2018/10/13/nj-bear-hunt-ends/1628414002/,https://www.njherald.com/20181014/plenty-of-protesters-no-bears-at-check-in-station-on-hunts-last-day#,,,,
Portland ,Pioneer Courthouse ,OR,US,2018-10-13,,,,,,,Patriot Prayer ,protesting the polices response to protests ,0,protest,0,4,0,0,1,1,https://www.kgw.com/article/news/politics/fight-breaks-out-at-patriot-prayer-march-in-downtown-portland-no-arrests-made/283-603953594,,,,,
Richmond,Alumni Coliseum,KY,US,2018-10-13,na,6100,,8100,,,Trump administration,"for Republican candidates, for President Trump",2,rally,0,0,0,0,1,1,http://www.kykernel.com/news/protestors-gather-outside-at-eku-as-trump-stumps-for-barr/article_22378cf0-cf3d-11e8-bbee-1faaba2e549c.html,https://www.washingtonpost.com/politics/2018/11/19/president-trumps-crowd-size-estimates-increasingly-unbelievable/?noredirect=on&utm_term=.51e3c14ab10c,,feat. President Trump,1,
Richmond,Alumni Coliseum,KY,US,2018-10-13,hundreds,200,,200,,,counter-protestors,counter-protesting Trump rally,1,counter-protest,,,,,0,1,http://www.kykernel.com/news/protestors-gather-outside-at-eku-as-trump-stumps-for-barr/article_22378cf0-cf3d-11e8-bbee-1faaba2e549c.html,,,,1,
Sacramento ,American Health Center ,CA,US,2018-10-13,,,,,,,Take Back the Night Rally ,protesting gender-based violence and sexual assault ,1,protest;rally,0,0,0,0,1,1,https://www.abc10.com/article/news/local/take-back-the-night-rally-and-march-held-in-sacramento/103-604132739,,,,,
Santa Cruz ,Gallenua Atrium,CA,US,2018-10-13,,,,,,,Get Out the Vote,Rally for Rep. Jimmy Penetta and Assemblymen Mark Stone  ,1,rally,0,0,0,0,1,1,https://www.santacruzsentinel.com/2018/10/11/coast-lines-democratic-party-hosts-rally-saturday/,,,,,
Stuart ,,Fl,US,2018-10-13,,,,,,,Flordia Oceanoographic Society,protesting water pollution ,0,protest,0,0,0,0,1,1,https://cbs12.com/news/local/residents-rally-to-save-waterways,,,,,
Tulsa ,Gathering Place Park ,OK,US,2018-10-13,,,,,,,general protestors ,pro-second amendment; anti-parks new policy banning open and concealed carry of firearms on the premises ,2,protest,0,0,0,0,1,1,https://www.tulsaworld.com/news/gatheringplace/gun-rights-supporters-hold-rally-at-gathering-place-to-protest/article_996120c6-3ef4-54e3-bf28-df1208977d34.html,,,,,
Warren ,Fiat Chrysler Warren Stamping plant,MI,US,2018-10-13,,,,,,,Campaign rally for Niles Niemuth ,rallying for supporting in the midterm election ,1,rally,0,0,0,0,1,1,https://www.wsws.org/en/articles/2018/10/15/elec-o15.html,,,,,
Winfield,Island Park,KS,US,2018-10-13,estimated 113,113,,113,,,Cowley County Area American Foundation for Suicide Prevention,Darkness Walk for Suicide Prevention,0,march,0,0,0,0,1,1,http://www.ctnewsonline.com/news/article_855fd4e6-d7f7-11e8-a603-af322698464d.html,,,,,
Arlington,Cowboy Stadium,TX,US,2018-10-14,,1,,1,,,general protestor ,"anti-abortion, pro GOP",2,protest,0,0,0,0,1,1,https://twitter.com/calvinwatkins/status/1051569167164428288,,,,,
Boston ,Copley Square ,MA,US,2018-10-14,few hundred ,200,,200,,,general protestors ,protesting Harvard University's admission policy that takes race into account on the grounds that it discriminates against Asian Americans; anti-affirmative action,0,protest,0,0,0,0,1,1,https://www.washingtonpost.com/education/2018/10/14/were-here-say-no-asian-american-critics-rally-against-harvard-admissions-policy/?utm_term=.11b26d18f6ac,,,,,
Cambridge ,Harvard Square,MA,US,2018-10-14,,,,,,,general protestors ,protesting the lawsuit against Harvard's admission policy; pro-affirmative action,0,protest,0,0,0,0,1,1,https://www.washingtonpost.com/education/2018/10/14/were-here-say-no-asian-american-critics-rally-against-harvard-admissions-policy/?utm_term=.11b26d18f6ac,,,,,
Charlottesville ,,VA,US,2018-10-14,,,,,,,Stand Up and Vote ,rally for congressional candidate Leslie Cockburn,1,rally,0,0,0,0,1,1,https://www.cbs19news.com/content/news/Hollywood-stops-by-Charlottesville-to-rally-voters-497540191.html,,,,,
Daytona ,bethune-cookman university,Fl,US,0208-10-14,hundreds,200,,200,,,students ,protesting the college firing their president ,0,protest,0,0,0,0,1,1,https://www.news-journalonline.com/news/20181015/as-students-protest-b-cu-warns-school-on-verge-of-extinction,,,,,
Detroit ,Downtown ,MI,US,2018-10-14,,,,,,,March for Hope ,marching for racial harmony and social justice issues,1,march;rally,0,0,0,0,1,1,https://www.clickondetroit.com/news/community-members-march-for-change-renew-commitment-to-overcome-issues,,,,,
Elmont ,Belmont Park ,NY,US,2018-10-14,several dozen ,24,,24,,,general protestors ,protesting the commerical complex project that would replace the park ,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/nassau/belmont-park-redevelopment-protest-1.21954025,,,,,
Fort Dodge ,Democratic headquarters ,IA,US,2018-10-14,Crowd of 70 ,70,,70,,,Democratic Party rally ,Rallying for support in the upcoming mid-term election ,1,rally,0,0,0,0,1,1,https://www.kxly.com/news/politics/national-politics/julian-castro-rallies-iowa-democrats-as-he-ponders-his-2020-future/807073094,,,,,
Rockford,starting and ending at Rockford City Hall,IL,US,2018-10-14,hundreds ,200,,200,,,Town of Rockford,marching to raise awareness about domestic violence ,0,march,,,,,1,1,https://www.rrstar.com/news/20180914/rockford-mayor-announces-march-against-domestic-violence,https://www.wifr.com/content/news/Rockford-rallies-against-domestic-violence-during-the-first-Mayors-March-497539221.html,,,,
Ann Arbor,,MI,US,2018-10-15,,,,,,,Stop Trump Ann Anbor ,protesting a racist and sexist business owner trying to reopening his store,1,protest,0,0,0,0,1,1,https://www.mlive.com/news/ann-arbor/index.ssf/2018/10/former_pangea_piercing_owner_c.html,,,,,
Boston ,Faneuil Hall ,MA,US,2018-10-15,,,,,,,general protestors,anti-Trump; Pro-immigration ,1,protest,0,0,0,0,1,1,https://www.wcvb.com/article/immigration-rally-at-faneuil-hall-responds-to-new-policy-proposal/23802391,,,,,
Carmel ,Ritz Charles ,IN ,US,2018-10-15,,,,,,,Campaign rally for Sen. Mike Braun ,Rallying for support in the upcoming mid-term election ,2,rally,0,0,0,0,1,1,https://www.indystar.com/story/news/2018/10/13/george-w-bush-rally-mike-braun-next-week/1629529002/,https://cbs4indy.com/2018/10/15/former-president-george-w-bush-in-indiana-to-campaign-for-braun/,,,,
Chapel Hill ,Peace and Justice Plaza,NC,US,2018-10-15,,,,,,,general protestors,protesting Maya Littles verdict; for criminal justice system reform,1,protest,0,0,0,0,1,1,https://www.dailytarheel.com/article/2018/10/maya-little-rally-1015,,,,,
