CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc.,
Leander,Leander Public library ,Williamson ,TX,US,2019-06-15,about 200,200,,200,,,general protestors,anti- LGBTQ,2,demonstration ,0,0,0,0,1,1,https://www.statesman.com/news/20190615/lgbtq-story-hour-at-leander-library-draws-200-protesters-supporters,,,,,
Leander,Leander Public library ,Williamson ,TX,US,2019-06-15,,,,,,,general protestors,Pro- LGBTQ,1,counter-protest,0,0,0,0,0,1,https://www.statesman.com/news/20190615/lgbtq-story-hour-at-leander-library-draws-200-protesters-supporters,,,,,
Lewisburg,Downtown Post Office,Union,PA,US,2019-06-15,na,16,,16,,,Susquehanna HUB for Progress,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125010/signup/,https://www.dailyitem.com/news/local_news/protesters-rally-at-impeachtrump-event/article_888beacf-2ef7-5ee3-8ae8-0493f89ca8f5.html,,,Rally To Impeach Trump,
Livingston,"Sidewalk at Depot Park, 5th and Park Street in Livingston",Park,MT,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124937/signup/,,,,Defend Democracy - Begin the Trump Impeachment Inquiry,
Long Beach,,Los Angeles ,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,,,,
Longmont,6th and Main Gazebo,Boulder,CO,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,speak-out,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125075/signup/,,,,Teach-In and Speak-Out to Hold Trump Accountable,
Los Angeles,city hall,Los Angeles,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124926/signup/,,,,LA #ImpeachTrump Rally,
Los Angeles,City Hall,Los Angeles ,CA,US,2019-06-15,,,,,,,general protestors,anti-impeachment,2,rally,0,0,0,0,0,1,https://www.dailynews.com/2019/06/13/pro-and-anti-impeach-donald-trump-rallies-are-set-for-saturday-across-southern-california-heres-a-list/,,,,,
Los Angeles,Westwood Wilshire Federal building ,Los Angeles ,CA,US,2019-06-15,about 150,150,,150,,,general protestors,pro-impeachment,1,rally,0,0,0,0,0,1,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,,,,,
Los Angeles,Westwood Wilshire Federal building ,Los Angeles ,CA,US,2019-06-15,about 25,25,,25,,,general protestors,anti-impeachment,2,counter-protest,0,0,0,0,0,1,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,,,,,
Mays Landing,US Rep. Jeff Van Drew's office,Atlantic,NJ,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125076/signup/,,,,#ImpeachTrump Rally to Defend Democracy,
Medford,,Jackson,OR,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,protest,,,,,1,1,https://www.koin.com/news/politics/impeachtrump-rallies-in-portland-throughout-us/,,,,,
Metairie,US Rep. Steve Scalise's Office,Jefferson Parish,LA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125069/signup/,,,,#ImpeachTrump: Act to Defend Democracy Event,
Miami,Torch of Friendship,Miami-Dade,FL,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125030/signup/,,,,Impeachment Now,
Minocqua,Veterans Park Municipal Parking Lot,Oneida,WI,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125058/signup/,,,,No One Is Above the Law Minocqua,
Mission Viejo,,Orange,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125019/signup/,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,,Rally to Defend our Democracy from a rogue POTUS,
Mobile,Stewart Memorial Christian Methodist Episcopal Church ,Baldwin,AL,US,2019-06-15,,,,,,,general protestors,anti gun violence ,0,march ,0,0,0,0,1,1,http://mynbc15.com/news/local/church-holds-cease-fire-march-and-rally-in-mobile,,,,,
Morehead,Fountain Park,Rowan,KY,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125071/signup/,,,,Impeach Trump,
Mount Prospect,Northwest Highway & Main(83) street corner,Cook,IL,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124980/signup/,https://twitter.com/magical_Lee/status/1140097169011216387,,,Impeach Trump Rally,
Murray,from Murray State gates to Chestnut Park ,Calloway ,KY,US,2019-06-15,,,,,,,general protestors,pro LGBTQ+,1,march ,,,,,1,1,https://www.murrayledger.com/news/local/inaugural-murray-pride-march-to-be-held-saturday/article_03004834-8d76-11e9-96b6-cfbb9f83b6ef.html,,,,,
Na'alehu,Hwy. 11 and S. Point Rd,Hawaii ,HI,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125086/signup/,,,,Impeach Trump Signwaving,
Naperville,Dandelion Fountain Naperville Riverwalk,DuPage,IL,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125017/signup/,https://twitter.com/LadyLiberally/status/1140013579174842368,,,Impeach trump,
Naples,in front of Collier County Government Complex; the corner of Route 41 and Airport-Pulling Road,Collier,FL,US,2019-06-15,A couple Dozen,24,,24,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125050/signup/,https://www.fox4now.com/news/local-news/activists-gather-for-impeachtrump-protest-in-naples,https://nam01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.naplesnews.com%2Fpicture-gallery%2Fnews%2Flocal%2F2019%2F06%2F15%2Fimpeach-trump-photos-people-protesting-collier- %2F1465505001%2F&data=02%7C01%7Cjeremy.pressman%40uconn.edu%7Cbabe2d12085a4c7e68b408d6f5f2bcda%7C17f1a87e2a254eaab9df9d439034b080%7C0%7C0%7C636966820237225579&sdata=Jluk7J1efC6o4dR%2FigTntf%2ByxdMynnifRAwdS%2BwREEQ%3D&reserved=0,,Impeach Now,
Natick,Natick Common,Middlesex,MA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125048/signup/,,,,Impeach trump,
New London,Parade Plaza,New London,CT,US,2019-06-15,count pic,20,,20,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124988/signup/,https://twitter.com/blueskyllc_DBA/status/1139971961273167872,,,#ImpeachTrump Day of Action,
New York,Foley Square,New York,NY,US,2019-06-15,,,,,,,general protestors,pro-Trump,2,counter-protest,0,0,0,0,1,1,https://www.newsflare.com/video/299285/politics-business/impeach-trump-protest-in-foley-square-manhattan,,,,,
New York,Brooklyn; The Owl Music Parlor,New York ,NY,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,0,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125080/signup/,https://twitter.com/bkindivisible/status/1139938664795049984,,,Impeach Trump Day of Action,
New York,Times Square,New York ,NY,US,2019-06-15,dozens,24,,24,,,general protestors,anti divisive society,0,demonstration ,0,0,0,0,0,1,https://newyork.cbslocal.com/2019/06/15/naked-protesters-times-square/,,,,,
Newport,Washington Square Park,Newport,RI,US,2019-06-15,more than 25; close to 50,25,,50,,,Aquidneck Islanders for Impeachment,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125087/signup/,https://www.newportri.com/news/20190615/impeach-trump-rally-held-in-newports-washington-square,,,,
Newton,Newton Green,Sussex,NJ,US,2019-06-15,,,,,,,Momentum Sussex,pro LGBTQ+ ,1,rally,0,0,0,0,1,1,https://www.njherald.com/20190616/newton-green-rally-celebrates-pride-month,,,,,
Northampton,Pulaski Park,Hampshire,MA,US,2019-06-15,nearly 100,100,,100,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124925/signup/,https://www.masslive.com/news/2019/06/northampton-rally-calls-for-trumps-impeachment.html,,,#ImpeachTrump,
Oak Harbor,Beeksma-Gateway Park,Island,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124972/signup/,,,,Stand Together for Impeachment,
Oakland,near Ronald V. Dellums Federal Building,Alameda,CA,US,2019-06-15,about 50,50,,50,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124928/signup/,https://abc7news.com/politics/activists-rally-across-bay-area-to-impeach-president-trump-/5348526/,https://sanfrancisco.cbslocal.com/2019/06/14/costumed-activists-speaker-pelosi-impeach-president-trump/,,SUMMER IMPEACHMENT POP-UP,
Oceanside,Intersection of College and Highway 76,San Diego,CA,US,2019-06-15,count pic,8,,8,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125029/signup/,https://twitter.com/MaLaCoiD/status/1139979440639762432,,,Wave at Traffic to Impeach Trump,
Olympia,5th Ave W and Water St,Thurston,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124959/signup/,https://twitter.com/wa_sic/status/1139979443500273665,,,#FindYourSpine Impeachment Inquiries NOW!,
Omaha,Memorial Park Bridge over Dodge St,Douglas,NE,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125099/signup/,,,,Impeach Trump Omaha Rally,
Palm Springs,Frances Stevens Park,Riverside,CA,US,2019-06-15,about 100,100,,100,,,Courageous Resistance; Democrats of the Desert; Stonewall Democrats,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124981/signup/,https://www.kesq.com/news/protestors-in-palm-springs-demonstrate-for-president-trump-s-impeachment/1086657512,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,#ImpeachTrump: Act to Defend Democracy Rally,
Pasadena,,Los Angeles ,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,,,,
Pensacola,,Escambia,FL,US,2019-06-15,,,,,,,general protestors,Support of Mike Hill,0,Rally,0,0,0,0,1,1,https://historiccity.com/2019/staugustine/news/mike-hill-promotes-rally-for-his-supporters-outside-fake-news-headquarters-75832,,,,,
Peoria,Corner of University & Main,Peoria,IL,US,2019-06-15,count pic,24,,24,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125003/signup/,https://twitter.com/jill_m_blair/status/1139943486717943809,,,Rally To Call For Impeachment,
Philadelphia,Independence Mall,Philadelphia,PA,US,2019-06-15,,,,,,,general protestors,"for impeaching President Trump, for reproductive rights",1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124989/signup/,https://twitter.com/IndivisiblePHL/status/1140074819247050752,https://www.facebook.com/media/set/?set=a.2384847958250363&type=3,,Rally To Defend Democracy,
Phoenix,,Maricopa,AZ,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://www.masslive.com/news/2019/06/rally-calling-for-impeachment-of-president-donald-trump-set-for-saturday-in-northampton-congressman-jim-mcgovern-among-speakers.html,,,,,
Phoenixville,Reeves Park Pavillion,Montgomery ,PA,US,2019-06-15,more than 100,100,,100,,,Indivisible Chester County,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124974/signup/,https://twitter.com/Luke_Bauerlein/status/1140054001452486656,https://www.phoenixvillenews.com/more-than-gather-in-chester-county-at-rally-for-trump/article_a08194ba-1ad6-59db-96e9-e56396bdf0cc.html,,Indivisible Chester County - Rally To Support Impeachment Inquiries,
Port Saint Lucie,Turtle Run Park - Pavilion 1,St. Lucie,FL,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124938/signup/,https://twitter.com/falofle/status/1140068104267059200,,,PSL Impeach-In,
Portland,Terry Schrunk Plaza,Multnomah ,OR,US,2019-06-15,about 200,200,,200,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124919/signup/,https://www.oregonlive.com/news/2019/06/impeach-trump-rally-underway-in-downtown-portland.html,https://katu.com/news/local/impeach-trump-rallies-set-for-portland-vancouver-on-saturday,,Portland Rally - Impeachment Inquiry NOW!,
Portland,Pioneer Courthouse Square,Multnomah ,OR,US,2019-06-15,,,,,,,general protestors,against DHS separating teen from mother over medical care ,0,rally,0,0,0,0,0,1,https://www.kgw.com/article/news/we-stand-with-kylee-rally/283-aeaaf181-179f-4245-9bd3-51181be14242,,,,,
Princeton,Hinds Plaza,Mercer,NJ,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125108/signup/,,,,Impeachment On The Table,
Providence,,Providence ,RI,US,2019-06-15,,,,,,,general protestors,pro LGBTQ; pro trans people of color ,1,march ,0,0,0,0,1,1,http://www.abc6.com/story/40653614/new-pride-march-focuses-on-trans-people-of-color,,,,,
Provo,Provo Police Department ,Utah ,UT,US,2019-06-15,dozens ,24,,24,,,general protestors,Black Lives Matter; for transparency of police department in the shooting and death of Jeremy Sorensen ,1,protest,0,0,0,0,1,1,https://www.abc4.com/news/top-stories/black-lives-matter-activist-protest-in-search-of-answers/,,,,,
Raleigh,TS Federal Building,Wake,NC,US,2019-06-15,count video,12,,12,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125012/signup/,https://www.wnct.com/news/local-news/-impeach-trump-rally-in-raleigh_20190615223532/2079158168,,,IMPEACH Day of Action-Reality Matters,
Raleigh,Halifax Mall ,Wake,NC,US,2019-06-15,,,,,,,general protestors,anti gun violence ,0,rally,0,0,0,0,0,1,https://abc11.com/end-the-violence-rally-brings-charlotte-students-to-raleigh/5348266/,,,,,
Redondo Beach,South Bay Galleria Lot - SW Corner of Hawthorne & Artesia,Los Angeles,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124990/signup/,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,,,Dump Trump - Impeach Now,
Richland,John Dam Plaza,Benton,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125015/signup/,,,,Impeach Tri-cities,
Riverside,Albertsons Sidewalk @ Van Buren And Trautwein,Riverside ,CA,US,2019-06-15,75-100,75,,100,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125009/signup/,https://twitter.com/wokeorangecrest/status/1140069037101084672,https://twitter.com/wokeorangecrest/status/1140299684633702400,,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,
Rochester,downtown ,Monroe ,NY,US,2019-06-15,dozens ,24,,24,,,general protestors,spread awareness of the problems in Sudan ,0,protest,0,0,0,0,1,1,https://www.wxxinews.org/post/rochester-sudanese-protest-raise-awareness-about-strife-their-native-country,,,,,
Sacramento,,Sacramento ,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://twitter.com/HillaryNFillory/status/1140055766008651776,,,,,
Saint Petersburg,"Twin Banyan Trees - North Straub Park, Beach Drive NE",Pinellas ,FL,US,2019-06-15,175+,175,,175,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125025/signup/,https://twitter.com/banelmes2001/status/1139991092861050885,,,#IMPEACH TRUMP ST PETERSBURG,
Salem,,Marion,OR,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,protest,,,,,1,1,https://www.koin.com/news/politics/impeachtrump-rallies-in-portland-throughout-us/,,,,,
Sammamish,Sammamish Commons,King ,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124983/signup/,,,,Impeachment Inquiry Day of Action,
San Diego,Hall of Justice,San Diego ,CA,US,2019-06-15,about 150,150,,150,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125057/signup/,https://www.sandiegouniontribune.com/news/politics/story/2019-06-15/crowd-gathers-downtown-to-rally-for-impeachment,https://www.cbs8.com/article/news/local/confrontation-erupts-during-impeach-trump-rally-in-downtown/509-07185002-e0ac-4b3b-bcce-804a5cb8d6c9,,Impeach Trump Rally,
San Diego,near Hall of Justice,San Diego ,CA,US,2019-06-15,na,5,,5,,,general protestors,pro-Trump,2,counter-protest,0,0,0,0,0,1,https://www.sandiegouniontribune.com/news/politics/story/2019-06-15/crowd-gathers-downtown-to-rally-for-impeachment,https://www.cbs8.com/article/news/local/confrontation-erupts-during-impeach-trump-rally-in-downtown/509-07185002-e0ac-4b3b-bcce-804a5cb8d6c9,,,,
San Jose,San Jose City Hall,Santa Clara,CA,US,2019-06-15,count pic,18,,18,,,general protestors,pro-impeachment; Women's Rights Rally,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125103/signup/,https://twitter.com/HasanZR/status/1140041075400179712,https://abc7news.com/politics/activists-rally-across-bay-area-to-impeach-president-trump-/5348526/,,Making HERSTORY ( National #IMPEACHTRUMP Day of Action and Women's Rights Rally),
San Rafael,San Rafael City Plaza,Marin,CA,US,2019-06-15,about a dozen,12,,12,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125084/signup/,https://abc7news.com/politics/activists-rally-across-bay-area-to-impeach-president-trump-/5348526/,,,Impeach!?! Come Speak your Mind!,
Santa Barbara,De La Guerra Plaza,Santa Barbara,CA,US,2019-06-15,count pic,11,,11,,,general protestors,pro-impeachment,1,rally; march,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124985/signup/,https://www.keyt.com/news/santa-barbara-s-county/local-groups-hold-rally-and-march-calling-for-trumps-impeachment-in-santa-barbara/1086651504,https://terikanefield-blog.com/speech-at-the-santa-barbara-impeachment-march-june-15-2019/,,#Impeachment - Step One,
Santa Cruz,Santa Cruz County Building,Santa Cruz,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124940/signup/,https://twitter.com/other_molly/status/1139992348169891840,,,Impeach Trump,
Santa Rosa,Santa Rosa Court House Square,Sonoma,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124930/signup/,,,,Rally to Support Impeachment Now,
Seal Beach,Seal Beach Municipal Pier,orange,CA,US,2019-06-15,about 100,100,,100,,,general protestors,pro-impeachment,1,rally,0,0,0,0,0,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124970/signup/,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,Impeach on the Beach,
Sierra Madre,"Kersting Court, Sierra Madre",Los Angeles,CA,US,2019-06-15,na,30,,30,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125023/signup/,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,https://www.dailynews.com/2019/06/13/pro-and-anti-impeach-donald-trump-rallies-are-set-for-saturday-across-southern-california-heres-a-list/,,Impeach Trump NOW,
Silverton,Old Mill Park,Marion ,OR,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125024/signup/,https://katu.com/news/local/impeach-trump-rallies-set-for-portland-vancouver-on-saturday,,,Start the Impeachment Inquiry Now!,
Sonoma,Sonoma Plaza,Sonoma,CA,US,2019-06-15,count pic,9,,9,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124958/signup/,https://twitter.com/TomBenthin/status/1140023676923854849,,,Impeachment Hearings NOW Rally,
South Bend,St.John the Baptist Catholic School Soccer Field ,St. Joseph ,IN,US,2019-06-15,between 200 and 250,200,,250,,,St. Joseph County Right to Life ,Anti-abortion,2,rally,0,0,0,0,1,1,https://www.wndu.com/content/news/Thousand-expected-at-South-Bend-pro-life-rally-511317342.html,https://www.southbendtribune.com/news/local/indiana-attorney-general-curtis-hill-speaks-at-anti-abortion-rally/article_458edd98-6a21-5420-8177-6e000d74fa59.htmlhttps://www.wndu.com/content/news/Thousand-expected-at-South-Bend-pro-life-rally-511317342.html,,,,
Spokane,South Hill Public Library ,Spokane,WA,US,2019-06-15,about 400,400,,400,,,general protestors,"in support of Drag Queen Story Hour, for LGBTQ+ pride",1,counter-protest,0,0,0,0,1,1,https://www.kxly.com/news/hundreds-turn-out-to-support-protest-drag-queen-story-hour-at-the-south-hill-public-library/1086631519,https://www.vice.com/en/article/evy7e4/the-far-right-is-doxxing-and-threatening-drag-queen-story-hour-these-queens-wont-be-stopped,,,,
Spokane,South Hill Public Park ,Spokane,WA,US,2019-06-15,hundreds; about 200,200,,200,,,500 Mom Strong Crowd,"against Drag Queen Story Hour, for Christian values",2,protest,1,0,0,0,0,1,https://www.kxly.com/news/drag-queen-story-hour-organizers-protesters-get-death-threats/1085421458,https://www.vice.com/en/article/evy7e4/the-far-right-is-doxxing-and-threatening-drag-queen-story-hour-these-queens-wont-be-stopped,,,,
Springfield,Sidewalk Outside Billy Long's Springfield Office,Greene ,MO,US,2019-06-15,count pic,8,,8,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125082/signup/,https://twitter.com/kbrown65807/status/1140054360166215680,,,Springfield #ImpeachTrump,
St. George,Representative Stewart's Offices,Washington ,UT,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125033/signup/,,,,Impeach Trump Rally,
St. Petersburg,North Straub Park,Pinellas ,FL,US,2019-06-15,,,,,,,general protestors,Pro Impreachment ,1,rally,0,0,0,0,1,1,https://www.cltampa.com/news-views/local-news/article/21073344/impeach-trump-rally-planned-for-this-weekend-in-st-petersburg,,,,,
Tacoma,Tacoma US Federal Courthouse,Pierce ,WA,US,2019-06-15,count pic,14,,14,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124965/signup/,https://twitter.com/trollhuntress/status/1140100772190801921,,,#Impeach Trump Day of Action,
Tampa,,Hillsborough,FL,US,2019-06-15,,,,,,,Sierra Club; NAACP; Extinction Rebellion,Anti fracking gas in Tampa ,0,rally,0,0,0,0,1,1,https://www.cltampa.com/news-views/environment/article/21072788/environmental-activists-will-protest-teco-fracked-gas-plans-in-tampa,,,,,
Temecula,Temecula Duck Pond,Riverside ,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125005/signup/,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,,Act NOW to Defend Our Democracy!!,
Thousand Oaks,,Ventura ,CA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,http://www.dailybulletin.com/pro-impeachment-rallies-slated-for-saturday-in-southern-california-nation,,,,,
Toledo,"Key Bank, corner of Central & Secor Rd.",Lucas,OH,US,2019-06-15,about 20,20,,20,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124995/signup/,https://www.wtol.com/video/news/local/rallies-calling-for-trumps-impeachment-hold-in-toledo-across-the-country/512-ef15dbc9-e512-47be-acff-082a138b46ff,https://nam01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.wtol.com%2Fvideo%2Fnews%2Flocal%2Frallies-calling-for-trumps-impeachment-hold-in-toledo-across-the-country%2F512-ef15dbc9-e512-47be-acff-082a138b46ff&data=02%7C01%7Cjeremy.pressman%40uconn.edu%7Cbabe2d12085a4c7e68b408d6f5f2bcda%7C17f1a87e2a254eaab9df9d439034b080%7C0%7C0%7C636966820237195597&sdata=L7pht51D8TK2hZJTYVXWYsbKdadM4yUlt33%2FQqDKCn4%3D&reserved=0,,Rally to Impeach Trump,
Torrance,Corner of Hawthorne and Sepulveda,Los Angeles,CA,US,2019-06-15,about 40,40,,40,,,general protestors,pro-impeachment,1,rally,0,0,0,0,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124961/signup/,https://www.dailynews.com/2019/06/15/rallies-aimed-at-impeaching-trump-to-be-held-around-southern-california-today/,https://www.dailynews.com/2019/06/13/pro-and-anti-impeach-donald-trump-rallies-are-set-for-saturday-across-southern-california-heres-a-list/,,Impeachment Rally along Hawthorne/Sepulveda corner,
Tucson,SE corner of Broadway and Randolph Way,Pima,AZ,US,2019-06-15,a little over 100,100,,100,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/125026/signup/,https://twitter.com/JeanPoole_AZ/status/1140053657699811328,,,#ImpeachTrump Day of Action,
Van Nuys,Van Nuys Courthouse,Los Angeles,CA,US,2019-06-15,count pic,27,,27,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124949/signup/,https://twitter.com/MChaz41/status/1140008206833348610,https://www.dailynews.com/2019/06/13/pro-and-anti-impeach-donald-trump-rallies-are-set-for-saturday-across-southern-california-heres-a-list/,,#ImpeachTrump Day of Action,
Vancouver,Esther Short Park,Clark ,WA,US,2019-06-15,,,,,,,general protestors,pro-impeachment,1,rally,,,,,1,1,https://act.moveon.org/event/impeachment_day_of_action_june15/124948/signup/,https://katu.com/news/local/impeach-trump-rallies-set-for-portland-vancouver-on-saturday,,,Vancouver Event for Impeachment Inquiry,
