City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Jacksonville,Friendship Fountain,FL,US,2018-02-03,more than a dozen,12,,12,,,general protestors,Protesting offshore drilling,1,protest,0,0,0,0,1,1,http://www.firstcoastnews.com/article/news/local/activists-city-leaders-take-part-in-mock-oil-spill-demonstration-at-friendship-fountain/77-514132327,,,
Jamaica Plain,Centre St.,MA,US,2018-02-03,FB: 17,17,,17,,,MA Jobs With Justice,Rallying for immigrant man being held by ICE,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/636019609855144/,,,
Laguna,Main Beach,CA,US,2018-02-03,,,,,,,Hands Across the Sand,Protesting Trump proposal to allow drilling off of California's coasts,1,protest,0,0,0,0,1,1,https://www.dailybreeze.com/2018/02/03/protesters-take-stand-in-the-sand-in-laguna-beach-against-proposed-offshore-drilling/,,,
Lawrence,Downtown,KS,US,2018-02-03,never more than 100,100,,100,,,general protestors,White Nationalist rally,2,rally,1,0,0,0,1,1,http://www2.ljworld.com/news/2018/feb/03/lawrence-police-say-one-arrested-largely-peaceful-/?city_local,,,
Los Angeles,900 Westwood Blvd,CA,US,2018-02-03,,,,,,,"California Dream Network, CHIRLA, Undocumedia",Rallying for DREAM Act,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/529220197440220/?active_tab=discussion,,http://www.latimes.com/local/lanow/la-me-ln-immigration-rallies-20180203-story.html,
Los Angeles,N. Main St.,CA,US,2018-02-03,FB: 128,128,,128,,,March for Immigrants,Rallying for immigrant rights,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/577200755961929/,,,
Lynchburg,,VA,US,2018-02-03,,,,,,,Indivisible Lynchburg,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,http://wset.com/news/local/two-local-groups-rally-in-support-of-a-clean-dream-act,,,
Martinsburg,Berkeley County Court,WV,US,2018-02-03,FB: 25,25,,25,,,Vigilance-JCVW,Rallying for public education,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/157615894891418/,,,
Memphis,Poplar Ave.,TN,US,2018-02-03,,,,,,,general protestors,Rallying for incarcerated folk,0,rally,0,0,0,0,1,1,http://www.wmcactionnews5.com/story/37421088/community-leaders-gather-for-hands-around-201-event,,,
Minneapolis,Augsburg University,MN,US,2018-02-03,about 75,75,,75,,,general protestors,Protesting police brutality,1,protest,0,0,0,0,1,1,http://www.startribune.com/for-mothers-bereaved-by-police-shootings-protest-comes-naturally/472540443/#1,,,
Minneapolis,U.S. Bank,MN,US,2018-02-03,hundreds,200,,200,,,general protestors,Protesting bank's backing of fossil fuels,1,protest,0,0,0,0,0,1,https://heavy.com/news/2018/02/us-bank-protest-minneapolis-pipeline-photos-super-bowl/,,,
Morgantown,Patteson Drive,WV,US,2018-02-03,a large group; picture,30,,30,,,general protestors,Rallying for teacher wages,0,rally,0,0,0,0,1,1,http://www.dominionpost.com/Public-employees-hold-solidarity,,,
Mount Vernon,St. Phillips Rd.,IN,US,2018-02-03,FB: 31,31,,31,,,Hardcastle2018,Campaign rally,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/142797729729689/,,,
Murfreesboro,,TN,US,2018-02-03,dozens,24,,24,,,general protestors,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,https://www.newschannel5.com/news/murfreesboro-rally-held-in-support-of-immigrants,,,
New York,The Bronx,NY,US,2018-02-03,,,,,,,general protestors,Rallying for aid to Puerto Rico,1,rally,0,0,0,0,1,1,http://www.nydailynews.com/new-york/new-york-rallies-behind-puerto-rico-hopes-federal-aid-article-1.3797306,,,
Newark,MLK Statue,NJ,US,2018-02-03,,,,,,,People's Organization for Progress; NJ Anti War Agenda; NJPeace Action; Green Party of New Jersey; Socialist Party USA of NJ; IndustrialUnion Council of New Jersey; Union County Peace Council; Rutgers Students for Justice in Palestine,Rallying against US involvement in wars,1,rally,0,0,0,0,1,1,https://patch.com/new-jersey/newarknj/monthly-anti-war-rally-launches-essex-county,https://www.facebook.com/events/1707853879236076/?active_tab=about,,Planned monthly event
Pineville,Pineville to Alexandria,LA,US,2018-02-03,more than 5600,5600,,5600,,,Louisiana Right to Life; Louisiana College; Louisiana Baptist Convention; Catholic Diocese of Alexandria; United Pentecostal Church of Louisiana; Louisiana Family Forum; the Knights of Columbus; and Concerned Women for America,March against abortion,1,march,0,0,0,0,1,1,http://baptistmessage.com/louisiana-life-march-central-draws-5600/,http://www.prolifelouisiana.org/events/lalifemarch/marchcentral.html,,
Pittsburgh,Police HQ,PA,US,2018-02-03,about a dozen,12,,12,,,general protestors,Demanding justice in unsolved murders; silent protest,0,protest,0,0,0,0,1,1,http://pittsburgh.cbslocal.com/2018/02/03/unsolved-homicide-cases-protest/,http://www.post-gazette.com/local/city/2018/02/03/Silent-protest-held-outside-city-police-HQ-pittsburgh-unsolved-homicides/stories/201802030117,,
Portland,Portland International Jetport,ME,US,2018-02-03,more than 100,100,,100,,,general protestors,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,1,1,https://www.pressherald.com/2018/02/03/protesters-in-portland-take-a-knee-to-take-back-a-message/,,,
Portland,Holiday Inn Portland Airport,OR,US,2018-02-03,Roughly 1000 people,1000,,1000,,,Oregon Liberty Alliance,"Rallying for freedom of speech, religion and President Donald Trump's agenda",2,rally,0,0,0,0,0,1,http://www.statesmanjournal.com/story/news/2018/02/03/oregon-rep-greg-walden-talks-trump-tax-plan-political-unrest-freedom-rally/304312002/,,,
Portland,Holiday Inn Portland Airport,OR,US,2018-02-03,about a dozen,12,,12,,,general protestors,Counter-protest to Oregon Liberty Alliance,1,protest,0,0,0,0,0,1,http://www.statesmanjournal.com/story/news/2018/02/03/oregon-rep-greg-walden-talks-trump-tax-plan-political-unrest-freedom-rally/304312002/,,,
Racine,Paul Ryan's Office,WI,US,2018-02-03,,,,,,,Voces de la Frontera,Rallying for passage of a clean DREAM act,1,rally,0,0,0,0,1,1,https://www.facebook.com/VocesdelaFronteraWI/photos/pcb.10155580181453853/10155580173388853/?type=3&theater,,,
Rochester,,NY,US,2018-02-03,thousands,2000,,2000,,,general protestors,Rallying for aid to Puerto Rico,1,rally,0,0,0,0,1,1,http://www.nydailynews.com/new-york/new-york-rallies-behind-puerto-rico-hopes-federal-aid-article-1.3797306,,,
