CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,,,,
Pine Ridge,Pine Ridge Police Department,,SC,US,2020-10-17,,,,,,,general protesters,"for resignation of mayor, against resignation of police force",0,protest,0,0,0,0,1,1,,,,https://wach.com/news/local/protesters-gather-at-pine-ridge-police-department,,,,,,,,,,,,,,,,,,
Pismo Beach,,,CA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; Pismo Beach Rally for Biden/Harris; A gathering of women in support of the Biden/Harris ticket. Signs and chants. Masks and distancing mandatory.,,https://act.womensmarch.org/event/oct-17-march/372/,,,,,,,,,,,,,,,,,,
Placerville,Placerville Courthouse,,CA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; Women's March Placerville; Join us at the courthouse to stand in solidarity with the National Women's March and the principles the movement represents.,,https://act.womensmarch.org/event/oct-17-march/505/,,,,,,,,,,,,,,,,,,
Plainfield,duCret School of Art,,NJ,US,2020-10-17,300,300,,300,,,League of Women Voters of New Jersey,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration, for LGBTQ+ rights, against racism, for voting rights",1,march,0,0,0,0,1,1,,"Women's March; RBG's Legacy Rally; Hosted by the League of Women Voters of New Jersey and local league chapters, speakers from the front porch address Gender justice, Racial justice and Economic justice, focusing on what RBG was for them, how they became who they are today and how to carry RBG's legacy forward.     We believe that Women’s Rights are Human Rights and Human Rights are Women’s Rights. We must create a society in which women - including Black women, Indigenous women, poor women, immigrant women, disabled women, Jewish women, Muslim women, Latinx women, Asian and Pacific Islander women, lesbian, bi, queer, and trans women - are free and able to care for and nurture their families, however they are formed, in safe and healthy environments free from structural impediments.    We’re mobilizing. We’re making history.",,https://act.womensmarch.org/event/oct-17-march/221/,https://www.tapinto.net/towns/plainfield/sections/government/articles/advocacy-groups-speak-at-league-of-women-voters-rbg-s-legacy-rally-in-plainfield-video,,,,,,,,,,,,,,,,,
Plano,Route 34,,TX,US,2020-10-17,,,,,,,general protesters,"for President Trump, for police, for first responders",2,rally,,,,,1,1,,,,http://www.wcsjnews.com/news/wspynews/womens-march-planned-in-oswego-pro-trump-rally-scheduled-in-plano-this-weekend/article_576ca6e9-e323-57c1-9b24-92f86bddf503.html,,,,,,,,,,,,,,,,,,
Plattsburgh,US Oval,,NY,US,2020-10-17,about 200,200,,200,,,general protesters,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,0,0,0,0,1,1,,"Women's March; Our Future, Our Choice, Our Fight- Women’s March; On October 17th, we’re holding a socially distant march from the US Oval to downtown Plattsburgh to demonstrate our opposition to the POTUS agenda, including the nomination to fill RBG’s seat before the election.   ** This is a peaceful demonstration to advocate for the rights that others have fought for that are in danger of being repealed**  ** All participants must abide by social distancing regulations (mask wearing & staying separated)**",,https://www.pressrepublican.com/news/local_news/court-seat-fuels-women-s-march/article_565afded-c4c3-533b-9deb-3b230ecd0246.html,https://twitter.com/susanmanners/status/1317480450240225282,http://cardinalpointsonline.com/womens-march-voices-opposition-to-president/,,,,,,,,,,,,,,,,
Plymouth,Brewster Gardens,,MA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Plymouth Women's March; Rally at Brewster Gardens at 11:30.     Half hour program of speakers and organizing.      Celebrating the 100th Anniversary of the nineteenth amendment.    Women's Suffrage. The importance of voting.     What is your voting plan? Commit to vote.    Promote anti-racism. Stand for equality.       March over to Cole's Hill for peaceful standout across from Plymouth Rock.      October 17 is the first day of EARLY VOTING.     Those who want to vote can leave their political signs at Cole's Hill, march to Town Hall, and CAST YOUR BALLOTS!      Bring your signs, flags, and commitment to vote.      WEAR A MASK AND SOCIAL DISTANCE!",,https://act.womensmarch.org/event/oct-17-march/331/,,,,,,,,,,,,,,,,,,
Plymouth,Kellogg Park,,MI,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Women’s Rally to Vote; A peaceful, family friendly rally to encourage voting and political action for and by women.  Wear a mask and maintain a safe distance between yourself and others. Make and bring signs!",,https://act.womensmarch.org/event/oct-17-march/424/,,,,,,,,,,,,,,,,,,
Pocatello,Old Town Pavilion,,ID,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; Women’s march; Join us to march down Main Street and make our voices heard.,,https://act.womensmarch.org/event/oct-17-march/211/,,,,,,,,,,,,,,,,,,
Port Angeles,319 Lincoln St,,WA,US,2020-10-17,nearly 300,300,,300,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; March for Ruth; Join us March for Ruth face masks social distance,,https://act.womensmarch.org/event/oct-17-march/53/,https://www.peninsuladailynews.com/life/womens-march-port-angeles/,,,,,,,,,,,,,,,,,
Port Charlotte,"Charlotte County Democratic Headquarters, 3596 Tamiami Trail",,FL,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Charlotte County Women's Rally; We will rally to send an unmistakable message about our fierce opposition to Trump and his agenda, specifically the repeal of the Affordable Care Act and the Supreme Court Nominee and to support the Pro-Choice Movement and Equal Rights.  Social distancing and masks will be required.",,https://act.womensmarch.org/event/oct-17-march/182/,,,,,,,,,,,,,,,,,,
Port Jefferson,,,NY,US,2020-10-17,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,,,https://twitter.com/sandibachom/status/1317507831520702465,,,,,,,,,,,,,,,,,,
Port Jefferson Station,"Resistance Corner, Rte 112 and Rte 347",,NY,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Don't Fill RBG's Seat Until 2021!; Together we will send an unmistakable message about the fierce opposition to Trump and his agenda, including his attempt to fill Ruth Bader Ginsburg’s seat.     Masks are required and please observe social distancing.",,https://act.womensmarch.org/event/oct-17-march/462/,,,,,,,,,,,,,,,,,,
Port Orchard,933 Bay St,,WA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; March for Justice; We will gather at the park and march to the street. Please make signs and be respectful. We will march for Justice and share our message with the community. Womens rights are human rights and we will fight for women of every color, united. Together we are strong! We fight for equality and freedom, for LBGBTQ rights and for what is right. Together we are strong!",,https://act.womensmarch.org/event/oct-17-march/341/,,,,,,,,,,,,,,,,,,
Port Orford,Hwy 101 and 8th St,,OR,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; Women's March Rally - Protect Women's Rights; Rally in support of the National Women's March to honor Ruth Bader Ginsberg and protect  women's rights.,,https://act.womensmarch.org/event/oct-17-march/433/,,,,,,,,,,,,,,,,,,
Port Townsend,442 W Sims Way,,WA,US,2020-10-17,60 or more,60,,60,,,general protesters,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,0,0,0,0,1,1,,"Women's March; We the People Stand for Ruth!; We the People stand together for Ruth. Speak out against the nomination of Barrett. We the People can stop the effort to silence our voices. Stand for reproductive rights! Stand for healthcare! Bring your signs, bring your voices, bring your pink hat and masks. We will practice social distancing at this event, wear masks and keep each other safe.",,https://act.womensmarch.org/event/oct-17-march/482/,https://www.peninsuladailynews.com/life/womens-march-port-townsend/,,,,,,,,,,,,,,,,,
Portland,1 Monument Square,,ME,US,2020-10-17,dozens,24,,24,,,Women's March Portland,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,0,0,0,0,1,1,,Women's March; We Demand!; A street party / social justice fair / demonstration against the installation of a Supreme Court Justice ahead of the election. Contact us to get involved with planning at @womensmarchportland@gmail.com    Find information about our VIRTUAL EVENT here:  https://act.womensmarch.com/event/join-oct-17-march/375/?source=taf&referring_akid=.1244622.ufz9Cc,,https://act.womensmarch.org/event/oct-17-march/189/,https://www.newscentermaine.com/article/news/politics/portland-participates-in-womens-march-2020/97-83413b99-77dc-4f83-9750-d19495f8df18,https://twitter.com/j_mundry/status/1317513775264768006,,,,,,,,,,,,,,,,
Portland,Dawson Park,,OR,US,2020-10-17,about 25 ,25,,25,,,Uhuru Solidarity Movement,"for housing for homeless people, for payment of reparations to African community, for release of Mumia Abu-Jamal, against racism",1,march; rally,,,,,0,1,,,,https://www.facebook.com/events/771156020364167,https://psuvanguard.com/march-for-reparations-passes-through-historic-albina-neighborhood/,https://www.oregonlive.com/portland/2020/10/portland-protesters-federal-officers-clash-saturday-outside-ice-building.html,,,,,,,,,,,,,,,,
Portland,Portland City Hall to Terry Schrunk Park,,OR,US,2020-10-17,hundreds,200,,200,,,PDX Women's March,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration, for Black Lives Matter",1,march,0,0,0,0,1,1,,"Women's March; PDX Women's Unity march for Justice; Continuing the tradition of marching for justice and equality, join PDX as we stand for Women's rights and empower femininity!     Family friendly!   Guest speakers  Music  Art table for kiddos with local artist Hana  And more!    https://act.womensmarch.com/event/oct-17-march/39?nr=1&akid=.2024594.r7fiz4    PDX Women's March does not discriminate against any gender identity or non gender. All are welcome! As a community we stand together!     PDX Women's March does not discriminate against disabilities and welcome everyone.   Please submit any concerns we may address or accommodations we may provide.    PDX Women's March fully supports ALL Black Lives! This years event and March are hosted and led by BIPOC Women.    Social distancing and face masks are required for this event  -Pop-up event-",,https://act.womensmarch.org/event/oct-17-march/39/,https://katu.com/news/local/group-gathers-for-pdx-womens-unity-march-for-justice,https://www.koin.com/news/protests/pdx-womens-march-10172020/,,,,,,,,,,,,,,,,
Portland,Willamette Park to ICE building,,OR,US,2020-10-17,about 100; more than 100,100,,100,,,Safe PDX Protest,"against ICE, against racism",1,rally; march,unspecified,0,0,0,1,1,,,1,https://www.koin.com/news/protests/march-planned-for-honoring-those-who-died-in-ice-custody/,https://www.oregonlive.com/portland/2020/10/portland-protesters-federal-officers-clash-saturday-outside-ice-building.html,Federal officers used tear gas Saturday night Portland ICE protest (statesmanjournal.com),https://apnews.com/article/portland-immigration-oregon-racial-injustice-34d8561cabc556b57ceea2c9273ad939,https://lmtribune.com/northwest/feds-use-tear-gas-during-protest-in-portland/article_5fb456f4-9ff7-5864-9da0-6f7cde8248cb.html,,,,,,,,,,,,,,
Portsmouth,Market Square,,NH,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Women’s March; About women, the Women’s March is for everyone. We stand in unconditional solidarity with all oppressed people, irrespective of gender or sexual identity, disability, religious affiliation, race, or ethnicity.     This is a peaceful onward-to-victory rally designed to fortify women’s spirit and determination in these perilous times — AND TO HONOR RBG!    We must rise up to the urgency of this moment and send a clear message: THIS ADMINISTRATION’S TIME IS UP.    For four years, women, especially women of color, have been failed by this administration’s reckless and racist policies. For too long, the GOP has sidestepped their duty to the people. Even now, in the face of a global pandemic, our Republican leaders have made it clear that they will never fight for us.    We’ve had enough.     We must make our resistance loud and clear in these final days leading up to the Senate’s illegitimate Supreme Court nomination vote —and— the most consequential election of our life.    We’re marching (rallying) on October 17th, joining forces across the country for a massive day of action.     Dress to express yourself, and for comfort. Bring a sign or two. The sky’s the limit!    Social distancing and masks (covering nose and mouth) are required.     #IntersectionalFeminism #AllBlackLivesMatter #StrongerTogether",,https://act.womensmarch.org/event/oct-17-march/71/,,,,,,,,,,,,,,,,,,
Poughkeepsie,Harriet Tubman Park,,NY,US,2020-10-17,more than 100; nearly 150 ,100,,150,,,WE SYSTERS,"against violence targeting Black women and Black transgender women, for women's rights",1,march,0,0,0,0,1,1,,,,https://midhudsonnews.com/2020/10/19/rally-for-women-in-poughkeepsie/,https://hudsonvalleypress.com/2020/10/21/rally-for-women-is-held-in-poughkeepsie/,http://www.fightbacknews.org/2020/10/19/poughkeepsie-march-against-violence-facing-black-women-and-black-trans-women,100 rally in Poughkeepsie supporting Black trans women (poughkeepsiejournal.com),http://www.fightbacknews.org/2020/10/19/poughkeepsie-march-against-violence-facing-black-women-and-black-trans-women,,,,,,,,,,,,,,
Poulsbo,20882 Bond Rd NE,,WA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; Women's March Continues...; Civil Informationing event in support of WOMEN!,,https://act.womensmarch.org/event/oct-17-march/19/,,,,,,,,,,,,,,,,,,
Providence,Rhode Island State House,,RI,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; Gen Z for Justice; March/Rally at the Statehouse for justice for the black & brown men and women killed by police.,,https://act.womensmarch.org/event/oct-17-march/168/,,,,,,,,,,,,,,,,,,
Queen Creek,Queen Creek Botanical Gardens,,AZ,US,2020-10-17,,,,,,,AZ Freedom and Family,"for Republican candidates for office, for patriotism",2,rally,,,,,1,1,,,,https://www.pinalcentral.com/politics/political-rally-at-queen-creek-botanical-gardens-styled-after-fourth-of-july/article_8dc6fbc4-ebda-5e20-882a-32f26b32fcb2.html,,,,,,,,,,,,,,,,,,
Quincy,Adams County Courthouse,,IL,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; Women's March: Quincy; We will be meeting at the courthouse in front of the entrance by the flagpole along Vermont. Please park in an appropriate area that will allow for 1 hour (or greater) parking. We will move at 2PM to walk around the building and will be standing along Broadway next to the courthouse for the duration of the event to allow for as many people as possible to participate. Please bring signs that are representative of the progressive movement and are inclusive of the rights of women and female-presenting individuals. We ask that all signs please consider their language and prospective audience. We will not engage any counter-protestors!,,https://act.womensmarch.org/event/oct-17-march/479/,,,,,,,,,,,,,,,,,,
Racine,Monument Square,,WI,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; We Dissent! Sign Holding Rally; Rise up and show the world that women's rights are human rights.  Make sure to bring a sign, your voice, and a mask.",,https://act.womensmarch.org/event/oct-17-march/289/,,,,,,,,,,,,,,,,,,
Raleigh,Bicentennial Plaza,,NC,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; Marching in Soulful Solidarity; Join as we march in Soulful Solidarity to send a clear message that we will not stand for anything less than social justice and full equality for all.,,https://act.womensmarch.org/event/oct-17-march/244/,https://twitter.com/AlexxOfField/status/1317534229304168450,https://www.heraldsun.com/news/politics-government/election/article246524058.html,,,,,,,,,,,,,,,,
Raleigh,North Raleigh campus of Wake Tech Community College,,NC,US,2020-10-17,around 50,50,,50,,,historically Black faternities and sororities,"for voting, for empowering Black voters",1,rally,0,0,0,0,1,1,,,,https://www.heraldsun.com/news/politics-government/election/article246524058.html,,,,,,,,,,,,,,,,,,
Rancho Cucamonga,11200 Baseline Rd,,CA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Rancho Cucamonga Women’s March 2020; We’ll be hosting a socially distant sign holding action event to send an unmistakable message about the fierce opposition to Trump and his agenda, including his attempt to fill Ruth Bader Ginsburg’s seat. Masks required.",,https://act.womensmarch.org/event/oct-17-march/574/,,,,,,,,,,,,,,,,,,
Raymond,Highway 101 and Health St,q,WA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Get Out The Vote Rally; Sign waving, Voter registration",,https://act.womensmarch.org/event/oct-17-march/369/,,,,,,,,,,,,,,,,,,
Reading,City Park,,PA,US,2020-10-17,about 40; roughly 50,40,,50,,,Make the Road Action in PA; Sunrise Pennsylvania; Berks Stands Up,"against President Trump, against Mike Pence, against white supremacy, for Joe Biden for president",1,counter-protest,0,0,0,0,0,1,20201017-reading-pence,caravanned past venue for Pence rally,,https://www.readingeagle.com/news/local/groups-gather-in-reading-city-park-to-protest-pence-visit/article_2ea76f7e-1094-11eb-9328-9715ad3f41d4.html,https://berksweekly.com/news/group-stages-car-caravan-to-protest-vp-mike-pence-visit-to-reading/,,,,,,,,,,,,,,,,,
Reading,Reading Regional Airport,,PA,US,2020-10-17,more than 1000,1000,,1000,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,20201017-reading-pence,Feat. Mike Pence,,https://fusion.inquirer.com/politics/election/mike-pence-reading-pennsylvania-rally-20201017.html,Mike Pence coming to Reading airport for rally - The Morning Call (mcall.com),,,,,,,,,,,,,,,,,
Redmond,Redmond City Hall,,WA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; March for Ruth; March for women and RGB. Bring a sign, wear a mask, social distance. Drop off your ballot at city hall too!",,https://act.womensmarch.org/event/oct-17-march/243/,,,,,,,,,,,,,,,,,,
Richland,Hanford High School,,WA,US,2020-10-17,approximately 30,30,,30,,,general protesters,for President Trump,2,counter-protest,0,0,0,0,0,1,20201017-richland-biden,caravanned behind protesters' caravan,,https://www.yaktrinews.com/ridin-with-biden-car-rally-met-by-trump-counter-rally-in-tri-cities/,,,,,,,,,,,,,,,,,,
Richland,Hanford High School to Tri-Cities,,WA,US,2020-10-17,approximately 30,30,,30,,,general protesters,for Joe Biden,1,rally; caravan,0,0,0,0,1,1,20201017-richland-biden,,,https://www.yaktrinews.com/ridin-with-biden-car-rally-met-by-trump-counter-rally-in-tri-cities/,,,,,,,,,,,,,,,,,,
Richmond,Starr Gennett Building,,IN,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Women’s March- Richmond; March with your daughters, sisters, and friends. Let’s bring together the women of Wayne County and surrounding areas to March for RBG, leave her seat open until after election 2020. March to vote out the GOP. March for the continuous growth of women’s rights. March to remind our young women to VOTE BLUE 2020.",,https://act.womensmarch.org/event/oct-17-march/123/,,,,,,,,,,,,,,,,,,
Richmond,701 E Broad St,,VA,US,2020-10-17,,,,,,,,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Rally 4 Resistance; Come learn, share, and connect with your community as we participate in mass protest of Trump's agenda and learn how to keep resisting through and after the election.    Please wear a mask! Chairs, food, water, hand sanitizer, and sunscreen will be provided, but feel free to bring your own to reduce the risk of spreading germs.    To help us plan, please RSVP here: rally4resistance.rsvpify.com",,https://act.womensmarch.org/event/oct-17-march/267/,,,,,,,,,,,,,,,,,,
Richmond,"RAPS Animal Hospital, Westminster Hwy",,VA,US,2020-10-17,around 25,25,,25,,,general protesters,against workplace bullying,0,protest,0,0,0,0,1,1,,,,https://www.richmond-news.com/news/richmond-animal-charity-protest-organizer-has-no-union-connections-1.24228306,,,,,,,,,,,,,,,,,,
Ridgewood,Ridgewood Village Hall; Van Neste Park,,NJ,US,2020-10-17,about 120,120,,120,,,general protesters,"for President Trump, in support of police and the military, all lives matter, for patriotism",2,rally; march,0,0,0,0,1,1,,All Lives Matter March,,https://www.northjersey.com/story/news/bergen/ridgewood/2020/10/17/ridgewood-nj-rally-shows-support-president-donald-trump/3694494001/,,,,,,,,,,,,,,,,,,
Rochester,Interstate 490,,NY,US,2020-10-17,about 100,100,,100,,,general protestors,against racism,1,protest,2,0,0,0,1,1,,,,"Rochester protest: Interstate 490 shut down, 2 arrested by State Police (democratandchronicle.com)",,,,,,,,,,,,,,,,,,
Rochester,Susan B Anthony Square Park to Rochester City Hall,,NY,US,2020-10-17,about 100; over 100,100,,100,,,general protesters,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration, against racism, for LGBTQ+ rights, for voting rights",1,march,0,0,0,0,1,1,,"Women's March; Womens March 2020 OUR RIGHTS ARE ON THE BALLOT!; The ROC March will begin down the street from where Susan B. Anthony was arrested for voting in a U.S. presidential election. She set stepping stones for gender equality and we must continue down her path.      We will honor RBG’s legacy of empowering women. It is important our voices are heard with continued, determined demonstrations of persistence. Our rights are on this ballot!!      The march will conclude at a rally with speeches given by local feminists. Get fired up! Get ready to vote!    Bring signs, flags and walking shoes!   PLEASE WEAR A MASK!!!    *Extra mask will be provided if needed. Hand sanitizer will be available. Free swag will be passed out as well.    There is on-street parking around the Park, throughout the neighborhood, and on West Main St. Please observe all parking signs.",,http://www.campustimes.org/2020/10/25/womens-march-organizer-urges-ur-students-to-vote/,https://www.rochesterfirst.com/news/local-news/rochester-hosts-womens-march-urging-community-to-vote/,https://www.wxxinews.org/post/local-womens-march-focuses-supreme-court-appointment,,,,,,,,,,,,,,,,
Rockford,Andrews Park,,IL,US,2020-10-17,,,,,,,May 30th Alliance,"against police violence, against racism, for justice for Michael Guzman and all the Hispanic/Latino community harmed and abused by police",1,protest,,,,,1,1,,,,https://twitter.com/OccupyRKFD/status/1317516582055272454,,,,,,,,,,,,,,,,,,
Rockford,Davis Park,,IL,US,2020-10-17,,,,,,,general protesters,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Voting For Change; The election is 2 weeks away. We are going to have some local candidates speak, we will also have speakers inform us about policy change and about How we can use our voting power as a weapon in the fight for social justice.   This will not be a March. Please remember to practice social distancing, masks are required. This is a link to the local event created on our Facebook Page, https://fb.me/e/fkqYmHhN9",,https://act.womensmarch.org/event/oct-17-march/569/,,,,,,,,,,,,,,,,,,
Rockford,Rockford City Hall,,IL,US,2020-10-17,,,,,,,May 30th Alliance,"against racism, against police violence, for justice for Tyris Jones",1,occupation,0,0,0,0,1,1,,,,https://www.journalstandard.com/news/20201024/protesters-march-to-winnebago-county-jail-in-support-of-people-killed-injured-by-police,https://www.rrstar.com/news/20201004/sit-in-at-rockford-city-hall-pushes-for-name-of-officer-in-shooting,,,,,,,,,,,,,,,,,
Rocky Mount,Mary Elizabeth Park to Pigg River Community Center,,NC,US,2020-10-17,,,,,,,general protesters,for removing Confederate statue from county courthouse,1,caravan,0,0,0,0,1,1,,,,https://thefranklinnewspost.com/news/rally-held-for-franklin-county-voters/article_da94667a-d48b-57b0-a256-15ca47536ad1.html,,,,,,,,,,,,,,,,,,
Rogers,W Walnut St and S Promenade Blvd,,AR,US,2020-10-17,,,,,,,general protesters,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,Women's March; NWA Protect our Courts; No confirmation before Inauguration!  Distributed event-- bring your own sign to protest the hypocrisy of holding Senate confirmation hearings so close to a Presidential election.  Let the people speak!,,https://act.womensmarch.org/event/oct-17-march/420/,,,,,,,,,,,,,,,,,,
Rome,Town Green to Floyd County Administration Building,,GA,US,2020-10-17,close to 150,150,,150,,,general protesters,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration, for voting rights, for immigrants' rights, for action against climate change",1,march,0,0,0,0,1,1,,"Women's March; Women Lead the March to the Polls!; We will rally in front of the   Forum River Center on the Town green to listen to speakers for approximately 45 minutes, and then will march to the old county courthouse for early voting. Wear masks! Info on speakers to follow.",,https://act.womensmarch.org/event/oct-17-march/197/,https://www.northwestgeorgianews.com/rome/news/local/womens-march-to-the-polls-in-rome-draws-well-over-100/article_6b4eb820-10ac-11eb-a144-bbe4701e76f5.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share,,,,,,,,,,,,,,,,,
Roseland,US 1 and Roseland Rd,,FL,US,2020-10-17,a few dozen ,36,,36,,,general protesters,for President Trump,2,rally,,,,,1,1,,,,https://www.tcpalm.com/story/news/politics/elections/2020/10/17/womens-march-trump-caravan-coincide-vero-beach/3694551001/,,,,,,,,,,,,,,,,,,
Roseville,6780 Stanford Ranch Rd,,CA,US,2020-10-17,,,,,,,general protesters,"for women's rights, against President Trump, against filling vacant U.S. Supreme Court seat before inauguration",1,march,,,,,1,1,,"Women's March; Sister March and Sign Holding Event; From Women's March:    ""Women in this country are bearing the brunt of multiple crises, including  white supremacy and nationalism, a worsening climate crisis, an ever-deepening economic disaster, the global COVID-19 pandemic, and a family/domestic crisis. The most crucial election of our lifetimes is looming, and the current administration is threatening to stay in office no matter its outcome. In this state of emergency, the death of Ruth Bader Ginsburg is a lightning rod of clarity for many thousands of women to redouble our work for justice.     Why are we taking action on October 17?      We are all in to VOTE TRUMP OUT. As women, we know we are bearing the brunt of the multiple major crises we are living through. We are livid that Trump is rushing to fill Ruth Bader Ginsburg’s Supreme Court seat with an illegitimate and extremist nominee, and we are done with the death-dealing of this administration.     We are taking action across the nation on October 17 to signal and strengthen our determination to finish what we started when millions of women first marched in January 2017. We’ve resisted those in power for three years, and now we are taking power back. Women will decide this election, defend its integrity, and fight together for the feminist future we need.""      Show up on October 17, 2020 in Roseville/Rocklin area and make your voice heard!    Bring your posters (self-made and otherwise) and masks, and spread out on the sidewalks.    It is our upmost priority to make this a safe event, so masks and distancing are required. Please stay on the sidewalks and out of traffic.     Happy creating and see you soon!",,https://act.womensmarch.org/event/oct-17-march/103/,,,,,,,,,,,,,,,,,,
